IID,FID,tray,pos,HT1,HT2
493,NSW_1078652,13,E-9,112,193
605,NSW_1078713,13,A-10,18,44
748,NSW_1079686,13,B-10,12,14
941,NSW_1079709,13,C-10,NA,NA
124,NSW_1071128,13,D-10,83,163
1572,NSW_1079765,13,E-10,NA,NA
966,NSW_1079711,14,A-1,38,78
2087,NSW_1080771,14,B-1,NA,NA
1848,NSW_1079809,14,C-1,NA,NA
950,NSW_1079710,14,D-1,NA,NA
750,NSW_1079686,14,E-1,NA,NA
2381,NSW_1075705,14,A-2,52,94
1559,NSW_1079763,14,B-2,NA,NA
640,NSW_1079658,14,C-2,165,260
210,NSW_1075719,14,D-2,61,119
1031,NSW_1079716,14,E-2,112,206
984,NSW_1075712,14,A-3,64,139
1951,NSW_1080761,14,B-3,5,NA
1169,NSW_1079727,14,C-3,NA,NA
2102,NSW_1080773,14,D-3,NA,NA
1982,NSW_1080763,14,E-3,38,61
1505,NSW_1079758,14,A-4,NA,NA
734,NSW_1079682,14,B-4,118,168
1777,NSW_1079798,14,C-4,122,214
981,NSW_1075712,14,D-4,16,33
1122,NSW_1079723,14,E-4,NA,NA
1372,NSW_1079744,14,A-5,NA,NA
233,NSW_1074429,14,B-5,62,102
2312,NSW_1075720,14,C-5,88,152
1515,NSW_1079760,14,D-5,140,223
2198,NSW_1080781,14,E-5,124,230
1747,NSW_1079793,14,A-6,36,75
590,NSW_1075721,14,B-6,17,NA
994,NSW_1079713,14,C-6,NA,NA
929,NSW_1079708,14,D-6,11,14
274,NSW_1074339,14,E-6,118,202
778,NSW_1079691,14,A-7,8,NA
2098,NSW_1080772,14,B-7,157,255
854,NSW_1075707,14,C-7,NA,NA
1701,NSW_1079783,14,D-7,NA,NA
1557,NSW_1079763,14,E-7,NA,NA
159,NSW_1071143,14,A-8,136,230
1207,NSW_1079730,14,B-8,NA,NA
2277,NSW_1080787,14,C-8,48,85
2392,NSW_1075718,14,D-8,NA,NA
292,NSW_1074423,14,E-8,54,113
188,NSW_1071148,14,A-9,57,109
1384,NSW_1079745,14,B-9,74,144
885,NSW_1079705,14,C-9,87,154
962,NSW_1079711,14,D-9,73,130
309,NSW_1074428,14,E-9,NA,NA
144,NSW_1071133,14,A-10,NA,NA
613,NSW_1079653,14,B-10,NA,NA
2035,NSW_1080767,14,C-10,NA,NA
1370,NSW_1079744,14,D-10,81,134
1860,NSW_1079813,14,E-10,NA,NA
1679,NSW_1079779,15,A-1,NA,NA
2044,NSW_1080768,15,B-1,NA,NA
135,NSW_1071133,15,C-1,NA,NA
2222,NSW_1080784,15,D-1,NA,NA
1706,NSW_1079784,15,E-1,NA,NA
2156,NSW_1080777,15,A-2,NA,NA
1454,NSW_1079752,15,B-2,NA,NA
1893,NSW_1079819,15,C-2,NA,NA
1537,NSW_1079762,15,D-2,NA,NA
2130,NSW_1080775,15,E-2,50,126
101,NSW_1071118,15,A-3,72,164
1800,NSW_1079799,15,B-3,124,246
399,NSW_1078640,15,C-3,83,164
392,NSW_1078637,15,D-3,122,239
1365,NSW_1079743,15,E-3,NA,NA
875,NSW_1079703,15,A-4,NA,NA
2146,NSW_1080776,15,B-4,NA,NA
267,NSW_1074339,15,C-4,NA,NA
1021,NSW_1079716,15,D-4,124,195
121,NSW_1071128,15,E-4,226,282
2261,NSW_1080786,15,A-5,NA,NA
1213,NSW_1079731,15,B-5,39,77
245,NSW_1075723,15,C-5,3,NA
1424,NSW_1079748,15,D-5,NA,NA
779,NSW_1079691,15,E-5,23,52
764,NSW_1079687,15,A-6,32,116
2121,NSW_1080774,15,B-6,36,58
1603,NSW_1079768,15,C-6,39,87
709,NSW_1079680,15,D-6,144,242
1360,NSW_1079743,15,E-6,NA,NA
2350,NSW_1075713,15,A-7,NA,NA
391,NSW_1078637,15,B-7,88,189
1687,NSW_1079783,15,C-7,44,86
1869,NSW_1079814,15,D-7,27,29
1139,NSW_1079724,15,E-7,NA,NA
1596,NSW_1079767,15,A-8,NA,NA
478,NSW_1078647,15,B-8,NA,NA
871,NSW_1079703,15,C-8,NA,NA
1751,NSW_1079793,15,D-8,NA,NA
975,NSW_1075712,15,E-8,NA,NA
935,NSW_1079708,15,A-9,NA,NA
409,NSW_1078641,15,B-9,NA,NA
1977,NSW_1080762,15,C-9,NA,NA
1427,NSW_1079748,15,D-9,NA,NA
1659,NSW_1079778,15,E-9,NA,NA
1894,NSW_1079819,15,A-10,NA,NA
1282,NSW_1079735,15,B-10,NA,NA
2119,NSW_1080774,15,C-10,NA,NA
1658,NSW_1079778,15,D-10,NA,NA
1084,NSW_1079721,15,E-10,NA,NA
1279,NSW_1079735,16,A-1,NA,NA
237,NSW_1074429,16,B-1,85,158
687,NSW_1079675,16,C-1,42,79
1621,NSW_1079773,16,D-1,50,95
1683,NSW_1079783,16,E-1,142,232
1503,NSW_1079758,16,A-2,NA,NA
2370,NSW_1075722,16,B-2,104,214
2099,NSW_1080772,16,C-2,74,150
2083,NSW_1080771,16,D-2,46,98
1029,NSW_1079716,16,E-2,82,151
367,NSW_1074458,16,A-3,NA,NA
784,NSW_1079692,16,B-3,NA,NA
684,NSW_1079672,16,C-3,NA,NA
1391,NSW_1079745,16,D-3,NA,NA
786,NSW_1079692,16,E-3,NA,NA
2384,NSW_1075705,16,A-4,NA,NA
768,NSW_1079687,16,B-4,NA,NA
733,NSW_1079682,16,C-4,139,206
2066,NSW_1080770,16,D-4,31,54
1863,NSW_1079814,16,E-4,NA,NA
1199,NSW_1079729,16,A-5,NA,NA
433,NSW_1078642,16,B-5,NA,NA
955,NSW_1079710,16,C-5,NA,NA
927,NSW_1079708,16,D-5,18,41
1732,NSW_1079789,16,E-5,16,33
1538,NSW_1079762,16,A-6,NA,NA
1411,NSW_1079747,16,B-6,14,179
1280,NSW_1079735,16,C-6,16,34
931,NSW_1079708,16,D-6,NA,NA
2275,NSW_1080787,16,E-6,NA,NA
2032,NSW_1080767,16,A-7,44,102
638,NSW_1079658,16,B-7,58,104
2007,NSW_1080765,16,C-7,26,66
1715,NSW_1079784,16,D-7,16,25
153,NSW_1071138,16,E-7,39,76
772,NSW_1079691,16,A-8,98,176
1641,NSW_1079774,16,B-8,112,167
1720,NSW_1079788,16,C-8,48,97
583,NSW_1078662,16,D-8,10,13
710,NSW_1079680,16,E-8,NA,NA
1184,NSW_1079728,16,A-9,NA,NA
1778,NSW_1079798,16,B-9,68,114
1298,NSW_1079737,16,C-9,NA,NA
1901,NSW_1079821,16,D-9,162,215
1225,NSW_1079731,16,E-9,33,70
801,NSW_1079696,16,A-10,26,46
2106,NSW_1080773,16,B-10,73,131
348,NSW_1074433,16,C-10,NA,NA
571,NSW_1078660,16,D-10,NA,NA
565,NSW_1078660,16,E-10,155,254
787,NSW_1079692,17,A-1,NA,NA
1200,NSW_1079729,17,B-1,183,232
1571,NSW_1079765,17,C-1,NA,NA
137,NSW_1071133,17,D-1,120,198
1902,NSW_1079821,17,E-1,NA,NA
165,NSW_1071143,17,A-2,52,81
716,NSW_1079680,17,B-2,105,147
1933,NSW_1080759,17,C-2,NA,NA
704,NSW_1079677,17,D-2,46,73
1127,NSW_1079723,17,E-2,132,220
678,NSW_1079672,17,A-3,NA,NA
1649,NSW_1079774,17,B-3,69,116
1320,NSW_1079738,17,C-3,NA,NA
389,NSW_1078637,17,D-3,140,238
1668,NSW_1079778,17,E-3,NA,NA
376,NSW_1078636,17,A-4,8,14
306,NSW_1075706,17,B-4,NA,NA
1430,NSW_1079750,17,C-4,66,110
1568,NSW_1079765,17,D-4,7,10
74,NSW_1071113,17,E-4,NA,NA
1513,NSW_1079760,17,A-5,80,143
2349,NSW_1075713,17,B-5,NA,NA
2299,NSW_1075704,17,C-5,93,149
1565,NSW_1079765,17,D-5,111,150
1274,NSW_1079735,17,E-5,NA,NA
1004,NSW_1079714,17,A-6,84,147
2373,NSW_1075722,17,B-6,NA,NA
1135,NSW_1079724,17,C-6,31,54
2217,NSW_1080782,17,D-6,47,93
2317,NSW_1075709,17,E-6,35,60
976,NSW_1075712,17,A-7,NA,NA
1713,NSW_1079784,17,B-7,6,16
119,NSW_1071123,17,C-7,NA,NA
949,NSW_1079710,17,D-7,NA,NA
196,NSW_1074318,17,E-7,12,19
535,NSW_1078656,17,A-8,136,210
1140,NSW_1079724,17,B-8,54,105
607,NSW_1078713,17,C-8,NA,NA
1591,NSW_1079767,17,D-8,NA,NA
2257,NSW_1080786,17,E-8,NA,NA
1757,NSW_1079794,17,A-9,54,113
1903,NSW_1079821,17,B-9,4,NA
385,NSW_1078637,17,C-9,147,221
340,NSW_1074433,17,D-9,60,127
1070,NSW_1079720,17,E-9,73,158
264,NSW_1074334,17,A-10,18,23
2314,NSW_1075720,17,B-10,4,NA
726,NSW_1079681,17,C-10,77,150
66,NSW_1071110,17,D-10,32,73
780,NSW_1079691,17,E-10,NA,NA
449,NSW_1078645,18,A-1,82,153
831,NSW_1079701,18,B-1,197,268
1152,NSW_1079725,18,C-1,NA,NA
1536,NSW_1079761,18,D-1,NA,NA
776,NSW_1079691,18,E-1,NA,NA
298,NSW_1074423,18,A-2,27,55
1509,NSW_1079758,18,B-2,11,22
2069,NSW_1080770,18,C-2,NA,NA
2323,NSW_1075709,18,D-2,62,125
1146,NSW_1079725,18,E-2,NA,NA
699,NSW_1079677,18,A-3,78,150
404,NSW_1078640,18,B-3,NA,NA
2053,NSW_1080769,18,C-3,NA,NA
887,NSW_1079705,18,D-3,NA,NA
1504,NSW_1079758,18,E-3,NA,NA
1742,NSW_1079793,18,A-4,61,109
421,NSW_1078641,18,B-4,57,109
1736,NSW_1079789,18,C-4,11,21
1142,NSW_1079725,18,D-4,NA,NA
1630,NSW_1079773,18,E-4,NA,NA
2394,NSW_1075718,18,A-5,NA,NA
756,NSW_1079686,18,B-5,NA,NA
2187,NSW_1080780,18,C-5,38,76
560,NSW_1078658,18,D-5,8,13
658,NSW_1079670,18,E-5,68,119
1036,NSW_1079717,18,A-6,21,67
1136,NSW_1079724,18,B-6,NA,NA
964,NSW_1079711,18,C-6,NA,NA
1459,NSW_1079752,18,D-6,NA,NA
1088,NSW_1079721,18,E-6,NA,NA
1944,NSW_1080759,18,A-7,10,18
2327,NSW_1075709,18,B-7,21,43
873,NSW_1079703,18,C-7,31,NA
1050,NSW_1079718,18,D-7,NA,NA
1173,NSW_1079727,18,E-7,NA,NA
487,NSW_1078651,18,A-8,111,171
221,NSW_1074324,18,B-8,11,11
857,NSW_1079702,18,C-8,NA,NA
1727,NSW_1079788,18,D-8,53,105
815,NSW_1079696,18,E-8,9,12
470,NSW_1078647,18,A-9,11,23
400,NSW_1078640,18,B-9,14,22
1022,NSW_1079716,18,C-9,38,56
169,NSW_1071143,18,D-9,62,111
2025,NSW_1080766,18,E-9,48,76
1618,NSW_1079772,18,A-10,5,8
1985,NSW_1080763,18,B-10,6,NA
2115,NSW_1080774,18,C-10,31,46
1897,NSW_1079821,18,D-10,NA,NA
1171,NSW_1079727,18,E-10,NA,NA
1753,NSW_1079794,19,A-1,94,182
2389,NSW_1075718,19,B-1,NA,NA
1728,NSW_1079788,19,C-1,79,178
1941,NSW_1080759,19,D-1,NA,NA
1643,NSW_1079774,19,E-1,26,64
1891,NSW_1079819,19,A-2,NA,NA
1865,NSW_1079814,19,B-2,65,134
260,NSW_1074334,19,C-2,NA,NA
1629,NSW_1079773,19,D-2,28,47
1932,NSW_1080758,19,E-2,NA,NA
1328,NSW_1079739,19,A-3,110,224
2037,NSW_1080767,19,B-3,108,175
813,NSW_1079696,19,C-3,48,113
122,NSW_1071128,19,D-3,96,191
880,NSW_1079705,19,E-3,NA,NA
932,NSW_1079708,19,A-4,115,205
371,NSW_1074458,19,B-4,14,39
1211,NSW_1079730,19,C-4,NA,NA
1379,NSW_1079744,19,D-4,26,45
1965,NSW_1080762,19,E-4,NA,NA
1318,NSW_1079738,19,A-5,NA,NA
1498,NSW_1079756,19,B-5,16,28
596,NSW_1075721,19,C-5,NA,NA
328,NSW_1074329,19,D-5,75,163
952,NSW_1079710,19,E-5,NA,NA
965,NSW_1079711,19,A-6,NA,NA
275,NSW_1074339,19,B-6,NA,NA
967,NSW_1079711,19,C-6,14,21
1436,NSW_1079750,19,D-6,78,144
1346,NSW_1079741,19,E-6,NA,NA
1473,NSW_1079753,19,A-7,100,155
2308,NSW_1075720,19,B-7,79,155
1463,NSW_1079752,19,C-7,NA,NA
2340,NSW_1075710,19,D-7,85,160
609,NSW_1078713,19,E-7,NA,NA
2369,NSW_1075722,19,A-8,NA,NA
1042,NSW_1079717,19,B-8,NA,NA
2086,NSW_1080771,19,C-8,NA,NA
1579,NSW_1079766,19,D-8,38,78
1529,NSW_1079761,19,E-8,108,181
615,NSW_1079653,19,A-9,NA,NA
954,NSW_1079710,19,B-9,76,146
635,NSW_1079654,19,C-9,34,89
2094,NSW_1080772,19,D-9,NA,NA
771,NSW_1079691,19,E-9,NA,NA
456,NSW_1078645,19,A-10,NA,NA
1555,NSW_1079763,19,B-10,NA,NA
1205,NSW_1079730,19,C-10,40,104
673,NSW_1079672,19,D-10,38,86
270,NSW_1074339,19,E-10,9,NA
1519,NSW_1079760,20,A-1,74,194
2339,NSW_1075710,20,B-1,9,9
1595,NSW_1079767,20,C-1,NA,NA
1128,NSW_1079723,20,D-1,NA,NA
1731,NSW_1079789,20,E-1,NA,NA
209,NSW_1074324,20,A-2,100,203
1231,NSW_1079731,20,B-2,NA,NA
1170,NSW_1079727,20,C-2,NA,NA
1237,NSW_1079732,20,D-2,20,43
990,NSW_1079713,20,E-2,NA,NA
2328,NSW_1075709,20,A-3,NA,NA
1335,NSW_1079740,20,B-3,22,70
860,NSW_1075707,20,C-3,NA,NA
821,NSW_1079697,20,D-3,NA,NA
1723,NSW_1079788,20,E-3,104,228
2320,NSW_1075709,20,A-4,74,160
1540,NSW_1079762,20,B-4,NA,NA
1331,NSW_1079739,20,C-4,NA,NA
332,NSW_1074329,20,D-4,NA,NA
1352,NSW_1079741,20,E-4,NA,NA
879,NSW_1079705,20,A-5,64,124
675,NSW_1079672,20,B-5,NA,NA
276,NSW_1074339,20,C-5,59,134
833,NSW_1079701,20,D-5,136,254
1693,NSW_1079783,20,E-5,117,200
256,NSW_1074334,20,A-6,48,95
68,NSW_1071110,20,B-6,101,195
1598,NSW_1079768,20,C-6,115,222
971,NSW_1079711,20,D-6,NA,NA
1508,NSW_1079758,20,E-6,54,121
1381,NSW_1079745,20,A-7,NA,NA
920,NSW_1079707,20,B-7,NA,NA
423,NSW_1078641,20,C-7,NA,NA
2091,NSW_1080772,20,D-7,146,283
142,NSW_1071133,20,E-7,168,297
2229,NSW_1080784,20,A-8,74,171
1558,NSW_1079763,20,B-8,NA,NA
70,NSW_1071110,20,C-8,NA,NA
1402,NSW_1079746,20,D-8,NA,NA
1746,NSW_1079793,20,E-8,NA,NA
1535,NSW_1079761,20,A-9,45,99
649,NSW_1079670,20,B-9,34,61
90,NSW_1071115,20,C-9,136,251
1438,NSW_1079750,20,D-9,30,57
2300,NSW_1075704,20,E-9,198,328
327,NSW_1074329,20,A-10,94,183
261,NSW_1074334,20,B-10,51,124
2206,NSW_1080781,20,C-10,NA,NA
521,NSW_1078654,20,D-10,NA,NA
258,NSW_1074334,20,E-10,26,44
1040,NSW_1079717,21,A-1,NA,NA
907,NSW_1079706,21,B-1,8,28
281,NSW_1074398,21,C-1,NA,NA
1020,NSW_1079715,21,D-1,147,264
1994,NSW_1080764,21,E-1,NA,NA
228,NSW_1075719,21,A-2,85,193
1037,NSW_1079717,21,B-2,NA,NA
305,NSW_1074428,21,C-2,6,15
334,NSW_1074329,21,D-2,14,39
841,NSW_1079702,21,E-2,NA,NA
562,NSW_1078658,21,A-3,NA,NA
2272,NSW_1080787,21,B-3,NA,NA
614,NSW_1079653,21,C-3,NA,NA
845,NSW_1079702,21,D-3,NA,NA
712,NSW_1079680,21,E-3,89,209
1258,NSW_1079733,21,A-4,NA,NA
450,NSW_1078645,21,B-4,84,164
262,NSW_1074334,21,C-4,NA,NA
2120,NSW_1080774,21,D-4,28,81
2022,NSW_1080766,21,E-4,NA,NA
30,NSW_1071080,21,A-5,NA,NA
1868,NSW_1079814,21,B-5,3,NA
1018,NSW_1079715,21,C-5,NA,NA
1247,NSW_1079732,21,D-5,7,19
2390,NSW_1075718,21,E-5,NA,NA
21,NSW_1071075,21,A-6,NA,NA
1374,NSW_1079744,21,B-6,39,113
356,NSW_1074453,21,C-6,NA,NA
1083,NSW_1079721,21,D-6,NA,NA
1304,NSW_1079737,21,E-6,8,19
319,NSW_1074428,21,A-7,NA,NA
335,NSW_1074329,21,B-7,NA,NA
739,NSW_1079682,21,C-7,NA,NA
407,NSW_1078640,21,D-7,110,194
674,NSW_1079672,21,E-7,152,271
2195,NSW_1080780,21,A-8,66,138
1949,NSW_1080761,21,B-8,NA,NA
758,NSW_1079687,21,C-8,33,68
355,NSW_1074453,21,D-8,NA,NA
366,NSW_1074458,21,E-8,NA,NA
1956,NSW_1080761,21,A-9,76,145
1405,NSW_1079747,21,B-9,144,245
1412,NSW_1079747,21,C-9,128,213
1137,NSW_1079724,21,D-9,NA,NA
2034,NSW_1080767,21,E-9,118,223
2074,NSW_1080770,21,A-10,10,17
41,NSW_1071090,21,B-10,186,297
1,NSW_1071070,21,C-10,96,176
2157,NSW_1080777,21,D-10,80,154
568,NSW_1078660,21,E-10,NA,NA
2399,NSW_1075718,22,A-1,NA,NA
55,NSW_1071090,22,B-1,94,189
556,NSW_1078658,22,C-1,NA,NA
1259,NSW_1079733,22,D-1,NA,NA
2352,NSW_1075713,22,E-1,86,176
1520,NSW_1079760,22,A-2,NA,NA
677,NSW_1079672,22,B-2,NA,NA
1523,NSW_1079760,22,C-2,82,153
98,NSW_1071118,22,D-2,86,160
1729,NSW_1079789,22,E-2,74,165
1444,NSW_1079751,22,A-3,112,169
25,NSW_1071080,22,B-3,82,146
1355,NSW_1079741,22,C-3,NA,NA
387,NSW_1078637,22,D-3,156,251
1421,NSW_1079748,22,E-3,58,119
928,NSW_1079708,22,A-4,NA,NA
365,NSW_1074458,22,B-4,NA,NA
2128,NSW_1080775,22,C-4,NA,NA
1054,NSW_1079718,22,D-4,27,60
1744,NSW_1079793,22,E-4,NA,NA
80,NSW_1071113,22,A-5,NA,NA
1008,NSW_1079714,22,B-5,NA,NA
2333,NSW_1075710,22,C-5,NA,NA
471,NSW_1078647,22,D-5,172,274
1032,NSW_1079716,22,E-5,NA,NA
249,NSW_1075723,22,A-6,16,38
1878,NSW_1079818,22,B-6,NA,NA
979,NSW_1075712,22,C-6,8,22
2081,NSW_1080771,22,D-6,NA,NA
639,NSW_1079658,22,E-6,NA,NA
1329,NSW_1079739,22,A-7,36,87
1376,NSW_1079744,22,B-7,NA,NA
1633,NSW_1079774,22,C-7,25,38
1344,NSW_1079740,22,D-7,20,61
581,NSW_1078662,22,E-7,22,39
1109,NSW_1079722,22,A-8,NA,NA
593,NSW_1078662,22,B-8,NA,NA
2288,NSW_1075708,22,C-8,63,139
1539,NSW_1079762,22,D-8,NA,NA
342,NSW_1074433,22,E-8,NA,NA
1253,NSW_1079733,22,A-9,NA,NA
558,NSW_1078658,22,B-9,NA,NA
2202,NSW_1080781,22,C-9,58,98
293,NSW_1074423,22,D-9,60,121
1790,NSW_1079799,22,E-9,NA,NA
116,NSW_1071123,22,A-10,90,164
1769,NSW_1079794,22,B-10,NA,NA
1354,NSW_1079741,22,C-10,NA,NA
1091,NSW_1079721,22,D-10,14,14
2095,NSW_1080772,22,E-10,109,163
1767,NSW_1079794,23,A-1,NA,NA
198,NSW_1074318,23,B-1,18,47
2297,NSW_1075704,23,C-1,NA,NA
1159,NSW_1079726,23,D-1,72,127
489,NSW_1078651,23,E-1,NA,NA
1942,NSW_1080759,23,A-2,NA,NA
1077,NSW_1079720,23,B-2,NA,NA
2313,NSW_1075720,23,C-2,NA,NA
1472,NSW_1079753,23,D-2,124,206
1918,NSW_1079822,23,E-2,130,40
2259,NSW_1080786,23,A-3,NA,NA
1351,NSW_1079741,23,B-3,NA,NA
2070,NSW_1080770,23,C-3,NA,NA
1039,NSW_1079717,23,D-3,NA,NA
918,NSW_1079707,23,E-3,NA,NA
1653,NSW_1079774,23,A-4,48,71
1375,NSW_1079744,23,B-4,NA,NA
1952,NSW_1080761,23,C-4,67,124
723,NSW_1079681,23,D-4,NA,NA
1437,NSW_1079750,23,E-4,40,88
1969,NSW_1080762,23,A-5,155,221
287,NSW_1074398,23,B-5,NA,NA
719,NSW_1079680,23,C-5,NA,NA
1592,NSW_1079767,23,D-5,NA,NA
2214,NSW_1080782,23,E-5,79,144
2358,NSW_1075711,23,A-6,116,208
851,NSW_1079702,23,B-6,NA,NA
1826,NSW_1079808,23,C-6,NA,NA
2307,NSW_1075720,23,D-6,48,102
1082,NSW_1079721,23,E-6,37,79
2043,NSW_1080768,23,A-7,129,192
1635,NSW_1079774,23,B-7,NA,NA
1227,NSW_1079731,23,C-7,5,NA
986,NSW_1079713,23,D-7,38,79
1830,NSW_1079808,23,E-7,90,175
323,NSW_1074428,23,A-8,NA,NA
380,NSW_1078636,23,B-8,109,184
1544,NSW_1079762,23,C-8,16,29
1147,NSW_1079725,23,D-8,18,26
1363,NSW_1079743,23,E-8,NA,NA
715,NSW_1079680,23,A-9,NA,NA
359,NSW_1074453,23,B-9,NA,NA
973,NSW_1075712,23,C-9,154,279
403,NSW_1078640,23,D-9,NA,NA
310,NSW_1075706,23,E-9,NA,NA
444,NSW_1078642,23,A-10,NA,NA
2065,NSW_1080770,23,B-10,46,77
147,NSW_1071138,23,C-10,81,140
140,NSW_1071133,23,D-10,30,65
1423,NSW_1079748,23,E-10,82,138
1695,NSW_1079783,24,A-1,26,62
2155,NSW_1080777,24,B-1,96,154
1858,NSW_1079813,24,C-1,9,9
251,NSW_1075723,24,D-1,NA,NA
1126,NSW_1079723,24,E-1,NA,NA
354,NSW_1074453,24,A-2,NA,NA
1606,NSW_1079768,24,B-2,8,17
494,NSW_1078652,24,C-2,84,142
799,NSW_1079696,24,D-2,24,58
496,NSW_1078652,24,E-2,46,101
2129,NSW_1080775,24,A-3,11,21
109,NSW_1071123,24,B-3,153,236
690,NSW_1079675,24,C-3,NA,NA
2166,NSW_1080778,24,D-3,NA,NA
118,NSW_1071123,24,E-3,12,19
1168,NSW_1079727,24,A-4,NA,NA
1263,NSW_1079734,24,B-4,NA,NA
2116,NSW_1080774,24,C-4,47,97
582,NSW_1075721,24,D-4,NA,NA
2107,NSW_1080773,24,E-4,38,74
862,NSW_1075707,24,A-5,NA,NA
2294,NSW_1075704,24,B-5,NA,NA
636,NSW_1079654,24,C-5,21,37
1206,NSW_1079730,24,D-5,NA,NA
2221,NSW_1080784,24,E-5,NA,NA
1785,NSW_1079798,24,A-6,54,100
2026,NSW_1080766,24,B-6,46,66
943,NSW_1079709,24,C-6,NA,NA
548,NSW_1078657,24,D-6,NA,NA
1195,NSW_1079729,24,E-6,NA,NA
1866,NSW_1079814,24,A-7,28,54
557,NSW_1078658,24,B-7,70,121
483,NSW_1078651,24,C-7,20,34
2280,NSW_1080787,24,D-7,NA,NA
2224,NSW_1080784,24,E-7,29,64
2150,NSW_1080777,24,A-8,NA,NA
296,NSW_1074423,24,B-8,NA,NA
686,NSW_1079675,24,C-8,28,58
485,NSW_1078651,24,D-8,NA,NA
1578,NSW_1079766,24,E-8,11,18
2158,NSW_1080777,24,A-9,68,109
345,NSW_1074433,24,B-9,NA,NA
1796,NSW_1079799,24,C-9,NA,NA
1429,NSW_1079750,24,D-9,37,66
484,NSW_1078651,24,E-9,NA,NA
1794,NSW_1079799,24,A-10,NA,NA
1060,NSW_1079719,24,B-10,NA,NA
895,NSW_1079706,24,C-10,8,16
761,NSW_1079687,24,D-10,NA,NA
1738,NSW_1079789,24,E-10,NA,NA
1467,NSW_1079753,25,A-1,45,88
551,NSW_1078657,25,B-1,NA,NA
669,NSW_1079671,25,C-1,NA,NA
1179,NSW_1079728,25,D-1,56,127
1971,NSW_1080762,25,E-1,92,160
126,NSW_1071128,25,A-2,73,114
642,NSW_1079658,25,B-2,84,135
435,NSW_1078642,25,C-2,NA,NA
528,NSW_1078654,25,D-2,38,87
2002,NSW_1080764,25,E-2,NA,NA
191,NSW_1071148,25,A-3,NA,NA
1395,NSW_1079746,25,B-3,54,99
2124,NSW_1080774,25,C-3,51,125
2161,NSW_1080778,25,D-3,NA,NA
2326,NSW_1075709,25,E-3,49,113
591,NSW_1078662,25,A-4,65,108
1452,NSW_1079751,25,B-4,33,70
1262,NSW_1079734,25,C-4,NA,NA
868,NSW_1079703,25,D-4,61,135
629,NSW_1079654,25,E-4,39,116
509,NSW_1078653,25,A-5,55,107
1678,NSW_1079779,25,B-5,87,158
2041,NSW_1080768,25,C-5,94,131
1818,NSW_1079804,25,D-5,83,163
480,NSW_1078647,25,E-5,NA,NA
832,NSW_1079701,25,A-6,45,106
51,NSW_1071090,25,B-6,131,224
394,NSW_1078637,25,C-6,75,154
2110,NSW_1080773,25,D-6,NA,NA
2354,NSW_1075711,25,E-6,NA,NA
1325,NSW_1079739,25,A-7,NA,NA
150,NSW_1071138,25,B-7,153,246
81,NSW_1071113,25,C-7,55,119
266,NSW_1074339,25,D-7,77,144
12,NSW_1071070,25,E-7,NA,NA
1419,NSW_1079748,25,A-8,NA,NA
1841,NSW_1079809,25,B-8,52,106
148,NSW_1071138,25,C-8,114,192
905,NSW_1079706,25,D-8,84,179
1749,NSW_1079793,25,E-8,28,84
1305,NSW_1079737,25,A-9,46,101
1874,NSW_1079818,25,B-9,36,88
102,NSW_1071118,25,C-9,54,136
869,NSW_1079703,25,D-9,55,105
1905,NSW_1079821,25,E-9,NA,NA
1366,NSW_1079743,25,A-10,NA,NA
1485,NSW_1079755,25,B-10,NA,NA
1518,NSW_1079760,25,C-10,84,169
490,NSW_1078651,25,D-10,NA,NA
398,NSW_1078640,25,E-10,18,44
1378,NSW_1079744,26,A-1,NA,NA
1244,NSW_1079732,26,B-1,NA,NA
707,NSW_1079677,26,C-1,11,17
419,NSW_1078641,26,D-1,58,84
1162,NSW_1079726,26,E-1,27,56
1847,NSW_1079809,26,A-2,95,154
479,NSW_1078647,26,B-2,58,93
2268,NSW_1080786,26,C-2,NA,NA
2264,NSW_1080786,26,D-2,NA,NA
713,NSW_1079680,26,E-2,88,167
2215,NSW_1080782,26,A-3,146,215
200,NSW_1074318,26,B-3,NA,NA
2013,NSW_1080765,26,C-3,NA,NA
1087,NSW_1079721,26,D-3,NA,NA
1527,NSW_1079761,26,E-3,NA,NA
152,NSW_1071138,26,A-4,184,255
2393,NSW_1075718,26,B-4,48,107
1092,NSW_1079721,26,C-4,26,58
1626,NSW_1079773,26,D-4,96,178
2049,NSW_1080768,26,E-4,40,77
2306,NSW_1075720,26,A-5,83,136
553,NSW_1078658,26,B-5,NA,NA
2325,NSW_1075709,26,C-5,85,162
1099,NSW_1079722,26,D-5,12,14
1364,NSW_1079743,26,E-5,NA,NA
136,NSW_1071133,26,A-6,49,95
194,NSW_1074318,26,B-6,NA,NA
1983,NSW_1080763,26,C-6,NA,NA
1993,NSW_1080764,26,D-6,NA,NA
1788,NSW_1079798,26,E-6,38,72
1299,NSW_1079737,26,A-7,NA,NA
1954,NSW_1080761,26,B-7,91,145
1016,NSW_1079715,26,C-7,185,311
2315,NSW_1075720,26,D-7,84,164
2281,NSW_1075708,26,E-7,NA,NA
1726,NSW_1079788,26,A-8,110,140
543,NSW_1078657,26,B-8,NA,NA
1867,NSW_1079814,26,C-8,96,122
915,NSW_1079707,26,D-8,NA,NA
1711,NSW_1079784,26,E-8,NA,NA
384,NSW_1078636,26,A-9,54,97
1474,NSW_1079753,26,B-9,NA,NA
