IID,FID,tray,pos,HT1,HT2
1809,NSW_1079803,4,C-8,NA,NA
849,NSW_1079702,4,D-8,9,16
129,NSW_1071128,4,E-8,130,256
402,NSW_1078640,4,A-9,120,226
552,NSW_1078657,4,B-9,23,58
2382,NSW_1075705,4,C-9,NA,NA
1912,NSW_1079822,4,D-9,NA,NA
291,NSW_1074423,4,E-9,39,89
2192,NSW_1080780,4,A-10,37,85
498,NSW_1078652,4,B-10,NA,NA
838,NSW_1079701,4,C-10,44,104
525,NSW_1078654,4,D-10,128,216
1449,NSW_1079751,4,E-10,92,168
1251,NSW_1079733,5,A-1,NA,NA
884,NSW_1079705,5,B-1,61,126
744,NSW_1079682,5,C-1,NA,NA
1386,NSW_1079745,5,D-1,NA,NA
1853,NSW_1079813,5,E-1,NA,NA
2367,NSW_1075722,5,A-2,NA,NA
1900,NSW_1079821,5,B-2,81,166
351,NSW_1074453,5,C-2,NA,NA
1239,NSW_1079732,5,D-2,NA,NA
1573,NSW_1079766,5,E-2,87,170
820,NSW_1079697,5,A-3,NA,NA
1431,NSW_1079750,5,B-3,12,35
1033,NSW_1079717,5,C-3,NA,NA
2203,NSW_1080781,5,D-3,57,122
382,NSW_1078636,5,E-3,163,309
2296,NSW_1075704,5,A-4,78,134
1801,NSW_1079803,5,B-4,NA,NA
1834,NSW_1079808,5,C-4,70,154
1190,NSW_1079729,5,D-4,NA,NA
1507,NSW_1079758,5,E-4,NA,NA
1101,NSW_1079722,5,A-5,16,11
1844,NSW_1079809,5,B-5,NA,NA
1153,NSW_1079726,5,C-5,NA,NA
2097,NSW_1080772,5,D-5,NA,NA
727,NSW_1079681,5,E-5,NA,NA
2138,NSW_1080776,5,A-6,117,186
1321,NSW_1079739,5,B-6,NA,NA
752,NSW_1079686,5,C-6,NA,NA
1622,NSW_1079773,5,D-6,10,18
1651,NSW_1079774,5,E-6,70,116
1187,NSW_1079728,5,A-7,NA,NA
940,NSW_1079709,5,B-7,NA,NA
746,NSW_1079686,5,C-7,NA,NA
2225,NSW_1080784,5,D-7,72,130
2003,NSW_1080764,5,E-7,3,9
827,NSW_1079697,5,A-8,NA,NA
706,NSW_1079677,5,B-8,110,184
1188,NSW_1079728,5,C-8,NA,NA
326,NSW_1074329,5,D-8,NA,NA
836,NSW_1079701,5,E-8,NA,NA
1611,NSW_1079772,5,A-9,NA,NA
2033,NSW_1080767,5,B-9,NA,NA
2072,NSW_1080770,5,C-9,NA,NA
1455,NSW_1079752,5,D-9,NA,NA
643,NSW_1079658,5,E-9,NA,NA
526,NSW_1078654,5,A-10,NA,NA
651,NSW_1079670,5,B-10,14,28
1857,NSW_1079813,5,C-10,NA,NA
939,NSW_1079709,5,D-10,NA,NA
1480,NSW_1079755,5,E-10,NA,NA
1567,NSW_1079765,6,A-1,79,188
630,NSW_1079654,6,B-1,44,105
1947,NSW_1080761,6,C-1,NA,NA
1940,NSW_1080759,6,D-1,52,119
1610,NSW_1079772,6,E-1,NA,NA
2298,NSW_1075704,6,A-2,NA,NA
1623,NSW_1079773,6,B-2,75,204
95,NSW_1071115,6,C-2,NA,NA
1522,NSW_1079760,6,D-2,46,107
837,NSW_1079701,6,E-2,29,104
1149,NSW_1079725,6,A-3,NA,NA
1699,NSW_1079783,6,B-3,31,76
2204,NSW_1080781,6,C-3,NA,NA
259,NSW_1074334,6,D-3,43,120
1708,NSW_1079784,6,E-3,45,136
1105,NSW_1079722,6,A-4,NA,NA
1583,NSW_1079766,6,B-4,NA,NA
602,NSW_1078713,6,C-4,NA,NA
1433,NSW_1079750,6,D-4,48,93
1341,NSW_1079740,6,E-4,NA,NA
2131,NSW_1080775,6,A-5,76,153
23,NSW_1071075,6,B-5,NA,NA
1380,NSW_1079744,6,C-5,33,89
1937,NSW_1080759,6,D-5,165,245
1337,NSW_1079740,6,E-5,44,130
386,NSW_1078637,6,A-6,96,177
364,NSW_1074458,6,B-6,NA,NA
488,NSW_1078651,6,C-6,44,104
811,NSW_1079696,6,D-6,4,9
1550,NSW_1079763,6,E-6,5,16
1914,NSW_1079822,6,A-7,NA,NA
1615,NSW_1079772,6,B-7,NA,NA
361,NSW_1074458,6,C-7,20,55
1469,NSW_1079753,6,D-7,NA,NA
1836,NSW_1079808,6,E-7,22,63
1011,NSW_1079715,6,A-8,NA,NA
604,NSW_1078713,6,B-8,NA,NA
645,NSW_1079658,6,C-8,166,276
2279,NSW_1080787,6,D-8,NA,59
633,NSW_1079654,6,E-8,NA,NA
491,NSW_1078651,6,A-9,*,NA
204,NSW_1074318,6,B-9,NA,NA
664,NSW_1079671,6,C-9,NA,NA
2321,NSW_1075709,6,D-9,55,126
922,NSW_1079707,6,E-9,NA,NA
53,NSW_1071090,6,A-10,NA,NA
207,NSW_1074324,6,B-10,NA,NA
436,NSW_1078642,6,C-10,NA,NA
561,NSW_1078658,6,D-10,NA,NA
2085,NSW_1080771,6,E-10,NA,NA
2068,NSW_1080770,7,A-1,70,168
1850,NSW_1079813,7,B-1,NA,NA
676,NSW_1079672,7,C-1,NA,NA
1609,NSW_1079772,7,D-1,64,141
2223,NSW_1080784,7,E-1,NA,NA
513,NSW_1078653,7,A-2,NA,NA
1627,NSW_1079773,7,B-2,22,55
717,NSW_1079680,7,C-2,60,152
660,NSW_1079670,7,D-2,NA,NA
1143,NSW_1079725,7,E-2,3,11
1311,NSW_1079738,7,A-3,NA,NA
622,NSW_1079653,7,B-3,4,10
1369,NSW_1079744,7,C-3,NA,NA
280,NSW_1074398,7,D-3,NA,NA
1359,NSW_1079743,7,E-3,3,8
1590,NSW_1079767,7,A-4,NA,NA
127,NSW_1071128,7,B-4,160,271
1294,NSW_1079736,7,C-4,34,64
519,NSW_1078654,7,D-4,71,118
1129,NSW_1079724,7,E-4,36,88
991,NSW_1079713,7,A-5,4,10
378,NSW_1078636,7,B-5,106,152
2179,NSW_1080779,7,C-5,NA,NA
288,NSW_1074398,7,D-5,NA,NA
968,NSW_1079711,7,E-5,NA,NA
282,NSW_1074398,7,A-6,NA,NA
1854,NSW_1079813,7,B-6,NA,NA
1103,NSW_1079722,7,C-6,106,174
775,NSW_1079691,7,D-6,NA,NA
138,NSW_1071133,7,E-6,92,142
1123,NSW_1079723,7,A-7,NA,NA
2311,NSW_1075720,7,B-7,68,125
206,NSW_1075719,7,C-7,12,20
71,NSW_1071110,7,D-7,42,91
452,NSW_1078645,7,E-7,80,141
579,NSW_1078662,7,A-8,24,55
1580,NSW_1079766,7,B-8,NA,NA
1283,NSW_1079735,7,C-8,NA,NA
945,NSW_1079709,7,D-8,NA,NA
663,NSW_1079671,7,E-8,NA,NA
2205,NSW_1080781,7,A-9,NA,NA
540,NSW_1078656,7,B-9,NA,NA
2164,NSW_1080778,7,C-9,4,12
541,NSW_1078657,7,D-9,100,197
393,NSW_1078637,7,E-9,79,148
803,NSW_1079696,7,A-10,8,18
1286,NSW_1079736,7,B-10,NA,NA
532,NSW_1078656,7,C-10,NA,NA
2274,NSW_1080787,7,D-10,NA,NA
573,NSW_1078660,7,E-10,NA,NA
1917,NSW_1079822,8,A-1,NA,NA
1671,NSW_1079779,8,B-1,NA,NA
685,NSW_1079675,8,C-1,47,109
1210,NSW_1079730,8,D-1,55,108
603,NSW_1078713,8,E-1,NA,NA
469,NSW_1078647,8,A-2,140,241
