Sample Number,Well Location,plate,Sample Name,BOX,ROW,COLUMN,Concentration ng/ul
64,H08,1,NSW_1079715,1,7,D,9.93
65,A09,1,NSW_1079737,1,7,E,19.62
66,B09,1,NSW_1078654,1,7,F,7
67,C09,1,NSW_1078657,1,7,G,3.64
68,D09,1,NSW_1078658,1,7,H,10.02
69,E09,1,NSW_1080759,1,7,I,10.33
70,F09,1,NSW_1080779,1,7,J,6.98
71,G09,1,NSW_1080784,1,8,A,5.18
72,H09,1,NSW_1080764,1,8,B,6.06
73,A10,1,NSW_1078651,1,8,C,1.84
74,B10,1,NSW_1071128,1,8,D,5.53
75,C10,1,NSW_1071090,1,8,E,7.71
76,D10,1,NSW_1078636,1,8,F,2.85
77,E10,1,NSW_1078653,1,8,G,3.71
78,F10,1,NSW_1071133,1,8,H,9.32
79,G10,1,NSW_1080786,1,8,I,4.3
80,H10,1,NSW_1080785,1,8,J,1.05
81,A11,1,NSW_1080766,1,9,A,4.96
82,B11,1,NSW_1071070,1,9,B,7.59
83,C11,1,NSW_1074329,1,9,C,12.98
84,D11,1,NSW_1080787,1,9,D,3.37
85,E11,1,NSW_1074318,1,9,E,11.18
86,F11,1,NSW_1071138,1,9,F,5.61
87,G11,1,NSW_1078641,1,9,G,8.64
88,H11,1,NSW_1079718,1,9,H,28.05
89,A12,1,NSW_1079714,1,9,I,28.56
90,B12,1,NSW_1079701,1,9,J,17.81
91,C12,1,NSW_1079760,1,10,A,29.68
92,D12,1,NSW_1079755,1,10,B,11.31
93,E12,1,NSW_1079794,1,10,C,18.89
94,F12,1,NSW_1079750,1,10,D,8.04
95,G12,1,NSW_1079819,1,10,E,11.66
96,H12,1,NSW_1079784,1,10,F,15.84
97,A01,2,NSW_1079722,1,10,G,40.56
98,B01,2,NSW_1079677,1,10,H,44.82
99,C01,2,NSW_1079682,1,10,I,14.87
100,D01,2,NSW_1079681,1,10,J,6.22
101,E01,2,NSW_1079717,2,1,A,8.59
102,F01,2,NSW_1079723,2,1,B,11.08
103,G01,2,NSW_1079724,2,1,C,46.44
104,H01,2,NSW_1079740,2,1,D,40.69
105,A02,2,NSW_1079716,2,1,E,12.42
106,B02,2,NSW_1079733,2,1,F,37.12
107,C02,2,NSW_1079719,2,1,G,30.14
108,D02,2,NSW_1079767,2,1,H,37.51
109,E02,2,NSW_1079691,2,1,I,52.93
110,F02,2,NSW_1079766,2,1,J,36.59
111,G02,2,NSW_1079813,2,2,A,45.51
112,H02,2,NSW_1079818,2,2,B,28.16
113,A03,2,NSW_1079774,2,2,C,7.91
114,B03,2,NSW_1079746,2,2,D,13.58
115,C03,2,NSW_1079710,2,2,E,10.71
116,D03,2,NSW_1079725,2,2,F,9.47
117,E03,2,NSW_1079728,2,2,G,10.8
118,F03,2,NSW_1071110,2,2,H,14.09
119,G03,2,NSW_1080761,2,2,I,13.03
120,H03,2,NSW_1080758,2,2,J,8.26
121,A04,2,NSW_1080780,2,3,A,7.85
122,B04,2,NSW_1071148,2,3,B,14.76
123,C04,2,NSW_1080767,2,3,C,11.47
124,D04,2,NSW_1080772,2,3,D,10.21
125,E04,2,NSW_1078645,2,3,E,8.37
126,F04,2,NSW_1071075,2,3,F,8.46
127,G04,2,NSW_1071123,2,3,G,12.41
