fieldNumber,fieldSpeciesName,infraSpecificRank,infraSpecificName,otherSpeciesName,altitude,sourceOfCoordinates,coordinatePrecision,coordinateUncertainty,dateCreated,sourceFile,generalNotes,hybridStatus,hybridStatusNotes,archived,nswNumber,sampleDate,bundleNumber,boxNumber,livingCollectionId,populationGeneticsId,collectionNotes,tissueSampleColumn,tissueSampleType,hmNumber,herbariumId,herbariumSpecimenIrn,herbariumSpecimenCollector,herbariumCollectionDate,dateToDart,dartServiceNumber,dartOptimization,dartSequencing,duplicateSampleSent,dartNotes,dateToMtAnnan,destructiveSamplingDate,destructiveSamplingBy,destructiveSamplingSiteName,populationInfoId,phenologyId,eventId,idCurrent,acceptedName,genus,species,provisionalAcceptedStatus,taxonType,locality,nationalPark,natureReserve,peoplePresent,stateConservationArea,stateForest,otherTenure,eventKey,plants10m,adultsPresent,juvenilesPresent,speciesIdConfidence,speciesIdNotes,nativeStatus,populationNotes,reproductiveState,flowers,fruit,dartOrderCount,dartOrderServiceNumbers,projectsString,id,type,date,decimalLongitude,decimalLatitude,geodeticDatum
,Melaleuca quinquenervia,,,,37.0,GPS,,,2017-09-20 14:00:00+00:00,restore_and_renew downloaded 18Sep17.xls,,,,False,NSW1022808,2017-09-07T14:00:00+00:00,,,,,,Location...genetic.sample.2,Tissue,,,,,,2018-06-05 14:00:00+00:00,DMela18-3553,False,False,False,none,,,,,popnInfo1869,,S732_2017-09-07,True,Melaleuca quinquenervia,Melaleuca,quinquenervia,n.a.,ALA,Myall Lakes National Park (ML),,,,,,,S732_2017-09-07,between 5 and 20,Yes,Yes,,,,,,,,0,,RandR,,,,152.284789,-32.580542,WGS84
,Melaleuca quinquenervia,,,,31.0,GPS,,,2017-09-20 14:00:00+00:00,restore_and_renew downloaded 18Sep17.xls,,,,False,NSW1022809,2017-09-07T14:00:00+00:00,,,,,,Location...genetic.sample.5,Tissue,,,,,,2018-06-05 14:00:00+00:00,DMela18-3553,False,False,False,none,,,,,popnInfo1869,,S732_2017-09-07,True,Melaleuca quinquenervia,Melaleuca,quinquenervia,n.a.,ALA,Myall Lakes National Park (ML),,,,,,,S732_2017-09-07,between 5 and 20,Yes,Yes,,,,,,,,0,,RandR,,,,152.283997,-32.579992,WGS84
,Melaleuca quinquenervia,,,,-3.601379,GPS,10.0,32.0,2018-02-25 13:00:00+00:00,restore_and_renew downloaded 21feb2018.xls,,,,False,NSW1028525,2018-02-06T13:00:00+00:00,,,,,,Location...genetic.sample.2,Tissue,,,,,,2018-06-05 14:00:00+00:00,DMela18-3553,False,False,False,none,,,,,popnInfo002286,phenology-h1vc51y,S1320_2018-02-07,True,Melaleuca quinquenervia,Melaleuca,quinquenervia,n.a.,ALA,Flame Street,,,Joel Cohen; Angus Robinson,,,,S1320_2018-02-07,more than 20,Yes,Yes,,,,,fertile,,"mature, seed mature",0,,RandR,,,,153.429757,-29.103308,WGS84
,Melaleuca quinquenervia,,,,1.292725,GPS,5.0,12.0,2018-02-25 13:00:00+00:00,restore_and_renew downloaded 21feb2018.xls,,,,False,NSW1026451,2018-02-06T13:00:00+00:00,,,,,,Location...genetic.sample.3,Tissue,,,,,,2018-06-05 14:00:00+00:00,DMela18-3553,False,False,False,none,,,,,popnInfo002286,phenology-h1vc51y,S1320_2018-02-07,True,Melaleuca quinquenervia,Melaleuca,quinquenervia,n.a.,ALA,Flame Street,,,Joel Cohen; Angus Robinson,,,,S1320_2018-02-07,more than 20,Yes,Yes,,,,,fertile,,"mature, seed mature",0,,RandR,,,,153.429751,-29.102955,WGS84
,Melaleuca quinquenervia,,,,-263.52246,GPS,50.0,192.0,2018-02-25 13:00:00+00:00,restore_and_renew downloaded 21feb2018.xls,,,,False,NSW1028587,2018-02-06T13:00:00+00:00,,,,,,Location...genetic.sample.4,Tissue,,,,,,2018-06-05 14:00:00+00:00,DMela18-3553,False,False,False,none,,,,,popnInfo002286,phenology-h1vc51y,S1320_2018-02-07,True,Melaleuca quinquenervia,Melaleuca,quinquenervia,n.a.,ALA,Flame Street,,,Joel Cohen; Angus Robinson,,,,S1320_2018-02-07,more than 20,Yes,Yes,,,,,fertile,,"mature, seed mature",0,,RandR,,,,153.429888,-29.102802,WGS84
,Melaleuca quinquenervia,,,,-25.61792,GPS,10.0,48.0,2018-02-25 13:00:00+00:00,restore_and_renew downloaded 21feb2018.xls,,,,False,NSW1028528,2018-02-06T13:00:00+00:00,,,,,,Location...genetic.sample.5,Tissue,,,,,,2018-06-05 14:00:00+00:00,DMela18-3553,False,False,False,none,,,,,popnInfo002286,phenology-h1vc51y,S1320_2018-02-07,True,Melaleuca quinquenervia,Melaleuca,quinquenervia,n.a.,ALA,Flame Street,,,Joel Cohen; Angus Robinson,,,,S1320_2018-02-07,more than 20,Yes,Yes,,,,,fertile,,"mature, seed mature",0,,RandR,,,,153.429497,-29.102763,WGS84
,Melaleuca quinquenervia,,,,-1.243591,GPS,5.0,8.0,2018-02-25 13:00:00+00:00,restore_and_renew downloaded 21feb2018.xls,,,,False,NSW1027769,2018-02-06T13:00:00+00:00,,,,,,Location...genetic.sample.6,Tissue,,,,,,2018-06-05 14:00:00+00:00,DMela18-3553,False,False,False,none,,,,,popnInfo002286,phenology-h1vc51y,S1320_2018-02-07,True,Melaleuca quinquenervia,Melaleuca,quinquenervia,n.a.,ALA,Flame Street,,,Joel Cohen; Angus Robinson,,,,S1320_2018-02-07,more than 20,Yes,Yes,,,,,fertile,,"mature, seed mature",0,,RandR,,,,153.429622,-29.103156,WGS84
,Melaleuca quinquenervia,,,,-4.424622,GPS,5.0,6.0,2018-02-25 13:00:00+00:00,restore_and_renew downloaded 21feb2018.xls,,,,False,NSW1028580,2018-02-06T13:00:00+00:00,,,,,,Location...genetic.sample.1..tap.in.white.space.and.accept.coordinates.,Tissue,,,,,,2018-06-05 14:00:00+00:00,DMela18-3553,False,False,False,none,,,,,popnInfo002287,phenology-t2sy43f,S1317_2018-02-07,True,Melaleuca quinquenervia,Melaleuca,quinquenervia,n.a.,ALA,Along Creek Road,,,Joel Cohen; Angus Robinson,,,Council owned,S1317_2018-02-07,between 5 and 20,Yes,Yes,,,,,fertile,,"immature, mature, seed mature, seed immature, seed released",0,,RandR,,,,153.567442,-28.35489,WGS84
,Melaleuca quinquenervia,,,,-6.833481,GPS,5.0,4.0,2018-02-25 13:00:00+00:00,restore_and_renew downloaded 21feb2018.xls,,,,False,NSW1026414,2018-02-06T13:00:00+00:00,,,,,,Location...genetic.sample.2,Tissue,,,,,,2018-06-05 14:00:00+00:00,DMela18-3553,False,False,False,none,,,,,popnInfo002287,phenology-t2sy43f,S1317_2018-02-07,True,Melaleuca quinquenervia,Melaleuca,quinquenervia,n.a.,ALA,Along Creek Road,,,Joel Cohen; Angus Robinson,,,Council owned,S1317_2018-02-07,between 5 and 20,Yes,Yes,,,,,fertile,,"immature, mature, seed mature, seed immature, seed released",0,,RandR,,,,153.567256,-28.354769,WGS84
,Melaleuca quinquenervia,,,,-5.501953,GPS,5.0,6.0,2018-02-25 13:00:00+00:00,restore_and_renew downloaded 21feb2018.xls,,,,False,NSW1026413,2018-02-06T13:00:00+00:00,,,,,,Location...genetic.sample.3,Tissue,,,,,,2018-06-05 14:00:00+00:00,DMela18-3553,False,False,False,none,,,,,popnInfo002287,phenology-t2sy43f,S1317_2018-02-07,True,Melaleuca quinquenervia,Melaleuca,quinquenervia,n.a.,ALA,Along Creek Road,,,Joel Cohen; Angus Robinson,,,Council owned,S1317_2018-02-07,between 5 and 20,Yes,Yes,,,,,fertile,,"immature, mature, seed mature, seed immature, seed released",0,,RandR,,,,153.567071,-28.354662,WGS84
