FID,n,species,Lat,Long,Pop,ID,IID
NSW_1071070,1,Melaleuca quinquenervia,-31.19779728,152.9682061,p93a6ddc0,NSW_1071070_1,1
NSW_1071070,10,Melaleuca quinquenervia,-31.19779728,152.9682061,p93a6ddc0,NSW_1071070_10,10
NSW_1071070,11,Melaleuca quinquenervia,-31.19779728,152.9682061,p93a6ddc0,NSW_1071070_11,11
NSW_1071070,12,Melaleuca quinquenervia,-31.19779728,152.9682061,p93a6ddc0,NSW_1071070_12,12
NSW_1071070,2,Melaleuca quinquenervia,-31.19779728,152.9682061,p93a6ddc0,NSW_1071070_2,2
NSW_1071070,3,Melaleuca quinquenervia,-31.19779728,152.9682061,p93a6ddc0,NSW_1071070_3,3
NSW_1071070,4,Melaleuca quinquenervia,-31.19779728,152.9682061,p93a6ddc0,NSW_1071070_4,4
NSW_1071070,5,Melaleuca quinquenervia,-31.19779728,152.9682061,p93a6ddc0,NSW_1071070_5,5
NSW_1071070,6,Melaleuca quinquenervia,-31.19779728,152.9682061,p93a6ddc0,NSW_1071070_6,6
NSW_1071070,7,Melaleuca quinquenervia,-31.19779728,152.9682061,p93a6ddc0,NSW_1071070_7,7
NSW_1071070,8,Melaleuca quinquenervia,-31.19779728,152.9682061,p93a6ddc0,NSW_1071070_8,8
NSW_1071070,9,Melaleuca quinquenervia,-31.19779728,152.9682061,p93a6ddc0,NSW_1071070_9,9
NSW_1071075,1,Melaleuca quinquenervia,-28.60642035,153.5706189,p328a8440,NSW_1071075_1,13
NSW_1071075,10,Melaleuca quinquenervia,-28.60642035,153.5706189,p328a8440,NSW_1071075_10,22
NSW_1071075,11,Melaleuca quinquenervia,-28.60642035,153.5706189,p328a8440,NSW_1071075_11,23
NSW_1071075,12,Melaleuca quinquenervia,-28.60642035,153.5706189,p328a8440,NSW_1071075_12,24
NSW_1071075,2,Melaleuca quinquenervia,-28.60642035,153.5706189,p328a8440,NSW_1071075_2,14
NSW_1071075,3,Melaleuca quinquenervia,-28.60642035,153.5706189,p328a8440,NSW_1071075_3,15
NSW_1071075,4,Melaleuca quinquenervia,-28.60642035,153.5706189,p328a8440,NSW_1071075_4,16
NSW_1071075,5,Melaleuca quinquenervia,-28.60642035,153.5706189,p328a8440,NSW_1071075_5,17
NSW_1071075,6,Melaleuca quinquenervia,-28.60642035,153.5706189,p328a8440,NSW_1071075_6,18
NSW_1071075,7,Melaleuca quinquenervia,-28.60642035,153.5706189,p328a8440,NSW_1071075_7,19
NSW_1071075,8,Melaleuca quinquenervia,-28.60642035,153.5706189,p328a8440,NSW_1071075_8,20
NSW_1071075,9,Melaleuca quinquenervia,-28.60642035,153.5706189,p328a8440,NSW_1071075_9,21
NSW_1071080,1,Melaleuca quinquenervia,-28.60644177,153.5706227,p328a8440,NSW_1071080_1,25
NSW_1071080,10,Melaleuca quinquenervia,-28.60644177,153.5706227,p328a8440,NSW_1071080_10,34
NSW_1071080,11,Melaleuca quinquenervia,-28.60644177,153.5706227,p328a8440,NSW_1071080_11,35
NSW_1071080,12,Melaleuca quinquenervia,-28.60644177,153.5706227,p328a8440,NSW_1071080_12,36
