"LIBRARY","Infectio.Type.on.Retested"
"S_1403_S130","2CN"
"S_1405_S126","0"
"S_1408_S17_L003","3+"
"S_1412_S125","0"
"S_1413_S10_L003","2CN"
"S_141_S188",";CN"
"S_1434_S73_L003","0"
"S_1443_S64_L003","3"
"S_1462_S171","2CN"
"S_1464_S64",";CN"
"S_1467_S106","3C"
"S_1468_S139","3C"
"S_1479_S2_L003","2C"
"S_147_S19",";1CN"
"S_1499_S25_L003","0"
"S_14_S3","0"
"S_1506_S61","0"
"S_1516_S148",";1+CN"
"S_151_S93","0"
"S_1521_S18","3+"
"S_1528_S47","3+"
"S_1531_S31_L003","0"
"S_1532_S117","3+"
"S_1542_S44","0"
"S_154_S162",";N"
"S_1552_S185","3C"
"S_1561_S52",";CN"
"S_1565_S74_L003",";1N"
"S_1567_S13_L003",";N"
"S_159_S190","3"
"S_1603_S91_L003","1+CN"
"S_1604_S168","3C"
"S_1620_S26","0"
"S_1651_S111",";C"
"S_1660_S143","3+"
"S_1669_S157","0"
"S_1674_S49_L003",";N"
"S_1675_S175",";C"
"S_1678_S107","3"
"S_1687_S90_L003","0"
"S_1689_1_S192","0"
"S_1691_S141","33+"
"S_1697_S147",";C"
"S_169_S27","2CN"
"S_16_S56_L003","3+"
"S_1725_S144",";CN"
"S_1727_S30",";"
"S_1735_S172","3"
"S_1740_S146","22+C"
"S_1747_S48_L003",";C"
"S_1753_S75",";CN"
"S_1755_S134",";N"
"S_1757_S61_L003","2+C"
"S_177_S62","3+"
"S_1780_S45_L003","3CN"
"S_1781_S84","3+"
"S_1783_S150","0;"
"S_1799_S86",";C"
"S_1800_S14_L003","0"
"S_1811_S148","3+"
"S_181_S65",";C"
"S_1822_S37","3+"
"S_1823_S3_L003",";1N"
"S_1824_S180",";CN"
"S_1828_S156","1+M"
"S_1831_S153","0"
"S_1834_S114","3+"
"S_1835_S57","0"
"S_1845_S34","3+"
"S_1855_S49",";N"
"S_1856_S51",";1CN"
"S_185_S72","0"
"S_1861_S1_L003","3+"
"S_1866_S158","0"
"S_1871_S186","3C"
"S_188_S79","1+CN"
"S_189_S37_L003","3+"
"S_1909_S132","3C"
"S_190_S2","3+"
"S_1910_S23_L003",";"
"S_1921_S54","0"
"S_1934_S21_L003","3+"
"S_1935_S15","3+ TO 4"
"S_1939_S59","3+"
"S_1945_S21","3CN"
"S_1946_S184","2C"
"S_1950_S66","0"
"S_1955_S145","12C"
"S_1956_S127","0"
"S_1971_S104","3+"
"S_1998_S79_L003","0"
"S_199_S59_L003",";N"
"S_1_S123","0"
"S_2005_S22","3+"
"S_2008_S85_L003","3C"
"S_2025_S28",";"
"S_2029_S18_L003","3+"
"S_2031_S70","0"
"S_2038_S118","3C"
"S_2039_S155",";N"
"S_2066_S68_L003","0"
"S_2075_S187","0"
"S_2076_S5_L003","3+"
"S_2077_S82_L003",";CN"
"S_2080_S6_L003","3+"
"S_2083_S65_L003","3"
"S_2089_S17","0"
"S_2096_S54_L003","3+"
"S_2098_S191","3C"
"S_2108_S154","3+"
"S_210_S177","0"
"S_2120_S134","0"
"S_2124_S101","0"
"S_2125_S140","0"
"S_2126_S35",";"
"S_212_S12","0"
"S_2130_S16_L003","2CN"
"S_2138_S112","3+"
"S_2139_S60",";C"
"S_2143_S84_L003","0"
