Restore & Renew species list (select),Tissue sample barcode,FID,Location Lat,Location Long,Height (m),Rust infection,Leaves and shoot infection %,Rust on leaves and shoots score 1-5,Minor branch dieback,Major branch dieback,Crown density %,Notes
Melaleuca quinquenervia,NSW1079705,NSW_1079705,-32.253502,152.5345676,9,infected,90+,3,yes,no,40,new leaves affected
Melaleuca quinquenervia,NSW1079744,NSW_1079744,-32.25109305,152.5364718,10,0A,1-May,NA,no,no,90,
Melaleuca quinquenervia,NSW1079758,NSW_1079758,-32.25109093,152.5364798,13,0A,5-Oct,NA,no,no,55,
Melaleuca quinquenervia,NSW1079768,NSW_1079768,-32.25129137,152.5365557,11,0A,1-May,NA,yes,no,60,
Melaleuca quinquenervia,NSW1079753,NSW_1079753,-32.25012837,152.5368438,11,infected,50-90,2,yes,no,55,
Melaleuca quinquenervia,NSW1079748,NSW_1079748,-32.25015074,152.5368591,11,0A,1-May,NA,no,no,55,
Melaleuca quinquenervia,NSW1079740,NSW_1079740,-32.24914199,152.5377314,16,infected,50-90,1,no,no,90,new leaves affected
Melaleuca quinquenervia,NSW1079726,NSW_1079726,-31.70961823,152.7898261,11,0A,Oct-50,NA,yes,no,75,
Melaleuca quinquenervia,NSW1079763,NSW_1079763,-31.70962811,152.789829,7,infected,5-Oct,1,no,no,40,burnt up to 3m
Melaleuca quinquenervia,NSW1079721,NSW_1079721,-31.69967177,152.7908758,9,0A,Oct-50,NA,no,no,55,
Melaleuca quinquenervia,NSW1079743,NSW_1079743,-31.71505587,152.7912195,3,0A,Oct-50,NA,yes,no,50,trunk and branches horizontal
Melaleuca quinquenervia,NSW1079716,NSW_1079716,-31.69863613,152.791601,7,infected,90+,3,no,no,80,
Melaleuca quinquenervia,NSW1079739,NSW_1079739,-31.69862089,152.7916118,10,0A,Oct-50,NA,no,no,90,burnt up to 3m
Melaleuca quinquenervia,NSW1079731,NSW_1079731,-31.71631709,152.791639,15,0A,50-90,NA,no,no,60,
Melaleuca quinquenervia,NSW1079735,NSW_1079735,-31.71631504,152.7916554,8,infected,Oct-50,1,no,no,55,
Melaleuca quinquenervia,NSW1079736,NSW_1079736,-31.71824925,152.7925521,11,infected,90+,4,yes,no,50,appears susceptible
Melaleuca quinquenervia,NSW1079738,NSW_1079738,-31.68884571,152.7937629,9,infected,90+,1,no,no,70,burnt up to 1m
Melaleuca quinquenervia,NSW1079822,NSW_1079822,-31.68554497,152.7971721,8,infected,Oct-50,4,no,no,55,burnt up to 2m
Melaleuca quinquenervia,NSW1079821,NSW_1079821,-31.68235956,152.8002216,13,0A,Oct-50,NA,yes,no,65,burnt up to 4m
Melaleuca quinquenervia,NSW1079772,NSW_1079772,-31.50224463,152.8982869,10,infected,50-90,3,yes,no,55,burnt up to 7m
Melaleuca quinquenervia,NSW1079809,NSW_1079809,-31.50223666,152.8982914,7,0A,Oct-50,NA,yes,no,30,burnt up to 2m
Melaleuca quinquenervia,NSW1079760,NSW_1079760,-31.50147069,152.8986933,10,infected,90+,2,yes,yes,35,burnt up to 8m; major branch dieback due to fire
Melaleuca quinquenervia,NSW1079755,NSW_1079755,-31.50046378,152.8997506,12,0A,50-90,NA,no,no,50,burnt up to 8m
Melaleuca quinquenervia,NSW1079750,NSW_1079750,-31.50047217,152.8997563,12,0A,1-May,NA,yes,yes,55,burnt up to 7m; major branch dieback due to fire
Melaleuca quinquenervia,NSW1079745,NSW_1079745,-31.49982136,152.9005251,10,0,NA,NA,yes,no,65,burnt up to 6m
Melaleuca quinquenervia,NSW1079819,NSW_1079819,-31.49680026,152.9023225,12,0A,5-Oct,NA,yes,no,45,burnt up to 2m
Melaleuca quinquenervia,NSW1079814,NSW_1079814,-31.49585756,152.9025959,9,0A,50-90,NA,yes,no,65,burnt up to 8m
Melaleuca quinquenervia,NSW1079804,NSW_1079804,-31.49540748,152.9030448,10,infected,90+,2,no,no,55,
Melaleuca quinquenervia,NSW1079789,NSW_1079789,-31.49418374,152.9035492,7,infected,Oct-50,1,yes,no,80,
Melaleuca quinquenervia,NSW1079794,NSW_1079794,-31.49420354,152.9035574,6,infected,90+,1,no,no,45,
Melaleuca quinquenervia,NSW1079784,NSW_1079784,-31.49350321,152.9038629,12,0A,1-May,NA,no,no,60,burnt up to 2m
Melaleuca quinquenervia,NSW1079774,NSW_1079774,-31.33241514,152.9565065,13,0A,50-90,NA,no,no,50,
Melaleuca quinquenervia,NSW1079746,NSW_1079746,-31.33168946,152.9570097,15,0A,Oct-50,NA,yes,no,50,burnt up to 6m
Melaleuca quinquenervia,NSW1079741,NSW_1079741,-31.33082294,152.9575479,16,infected,50-90,1,no,no,55,burnt up to 5m
Melaleuca quinquenervia,NSW1079751,NSW_1079751,-31.33080433,152.9575655,10,infected,5-Oct,1,no,no,60,burnt up to 6m
Melaleuca quinquenervia,NSW1079756,NSW_1079756,-31.32818962,152.9589881,12,infected,Oct-50,1,no,no,75,
Melaleuca quinquenervia,NSW1079761,NSW_1079761,-31.32815482,152.9590002,14,0A,50-90,NA,no,no,55,
Melaleuca quinquenervia,NSW1079799,NSW_1079799,-31.30753143,152.9627998,9,0A,5-Oct,NA,no,no,50,
Melaleuca quinquenervia,NSW1079767,NSW_1079767,-31.30749914,152.9628195,13,0A,1-May,NA,no,no,85,
Melaleuca quinquenervia,NSW1079766,NSW_1079766,-31.30981403,152.9633359,6,infected,Oct-50,1,no,no,60,
Melaleuca quinquenervia,NSW1079765,NSW_1079765,-31.31318018,152.9667334,9,0,NA,NA,yes,no,70,burnt up to 5m
Melaleuca quinquenervia,NSW1079779,NSW_1079779,-31.31946985,152.9668781,10,infected,50-90,3,no,no,65,
Melaleuca quinquenervia,NSW1079762,NSW_1079762,-31.3139559,152.9694803,16,0A,Oct-50,NA,no,no,80,burnt up to 4m
Melaleuca quinquenervia,NSW1079803,NSW_1079803,-31.02313825,153.0207133,15,infected,50-90,4,no,no,55,burnt up to 9m
Melaleuca quinquenervia,NSW1079818,NSW_1079818,-31.03060077,153.0237167,9,0A,90+,NA,no,no,45,
Melaleuca quinquenervia,NSW1079813,NSW_1079813,-31.03043342,153.0241479,10,0A,50-90,NA,no,no,55,burnt up to 3m
Melaleuca quinquenervia,NSW1079752,NSW_1079752,-31.03003889,153.0250251,12,infected,90+,1,no,no,30,
Melaleuca quinquenervia,NSW1079808,NSW_1079808,-31.02977903,153.0255807,11,infected,50-90,1,yes,no,40,
Melaleuca quinquenervia,NSW1079798,NSW_1079798,-31.04851124,153.0380382,8,0A,5-Oct,NA,no,no,50,
Melaleuca quinquenervia,NSW1079793,NSW_1079793,-31.0492059,153.0393076,12,0A,5-Oct,NA,no,no,75,
Melaleuca quinquenervia,NSW1079747,NSW_1079747,-31.0495524,153.03983,10,0A,5-Oct,NA,no,no,50,
Melaleuca quinquenervia,NSW1079788,NSW_1079788,-31.04981504,153.0406556,8,infected,Oct-50,1,no,no,65,
Melaleuca quinquenervia,NSW1079783,NSW_1079783,-31.05007697,153.0415239,10,infected,Oct-50,1,no,no,70,
Melaleuca quinquenervia,NSW1074329,NSW_1074329,-31.25654649,152.9661873,11,0A,50-90,NA,yes,no,50,
Melaleuca quinquenervia,NSW1071113,NSW_1071113,-31.25563895,152.9663093,17,0A,Oct-50,NA,no,no,44,
Melaleuca quinquenervia,NSW1071118,NSW_1071118,-31.25555562,152.9661151,12,0A,Oct-50,NA,no,no,55,
Melaleuca quinquenervia,NSW1074334,NSW_1074334,-31.25437969,152.966154,17,0A,5-Oct,NA,no,no,40,
Melaleuca quinquenervia,NSW1074339,NSW_1074339,-31.25441977,152.9661785,11,0A,1-May,NA,no,no,50,
Melaleuca quinquenervia,NSW1071115,NSW_1071115,-31.1977717,152.9681876,11,0A,1-May,NA,yes,no,50,
Melaleuca quinquenervia,NSW1071070,NSW_1071070,-31.19779728,152.9682061,12,0A,1-May,NA,no,no,55,
Melaleuca quinquenervia,NSW1071110,NSW_1071110,-31.1994082,152.9677057,9,0A,Oct-50,NA,no,no,50,
Melaleuca quinquenervia,NSW1071090,NSW_1071090,-28.47684672,153.5464416,12,0A,Oct-50,NA,no,no,60,
Melaleuca quinquenervia,NSW1071133,NSW_1071133,-28.47766614,153.5453788,13,0A,Oct-50,NA,yes,no,35,fallen branch; height of nearest tree measured
Melaleuca quinquenervia,NSW1071128,NSW_1071128,-28.47762564,153.5453594,17,0,NA,NA,yes,no,40,fallen branch; height of nearest tree measured
Melaleuca quinquenervia,NSW1078653,NSW_1078653,-28.47786231,153.5446269,14,0A,Oct-50,NA,yes,no,60,fallen branch; height of nearest tree measured
Melaleuca quinquenervia,NSW1078636,NSW_1078636,-28.4782849,153.5417933,9,0A,90+,NA,yes,no,55,fallen branch; height of nearest tree measured
Melaleuca quinquenervia,NSW1078641,NSW_1078641,-28.60516753,153.5740332,9,0A,1-May,NA,no,no,75,
Melaleuca quinquenervia,NSW1071123,NSW_1071123,-28.60559014,153.5734019,10,0A,50-90,NA,no,no,55,
Melaleuca quinquenervia,NSW1078645,NSW_1078645,-28.60557577,153.5734272,8,0A,50-90,NA,no,no,50,
Melaleuca quinquenervia,NSW1071075,NSW_1071075,-28.60642035,153.5706189,7,0A,50-90,NA,yes,no,35,
Melaleuca quinquenervia,NSW1071080,NSW_1071080,-28.60644177,153.5706227,13,0A,Oct-50,NA,no,no,75,
Melaleuca quinquenervia,NSW1078646,NSW_1078646,-28.60695352,153.569276,10,0A,Oct-50,NA,no,no,70,
Melaleuca quinquenervia,NSW1078640,NSW_1078640,-28.60778531,153.5666941,7,0A,1-May,NA,yes,no,60,
Melaleuca quinquenervia,NSW1078642,NSW_1078642,-28.6080735,153.5637864,13,0A,50-90,NA,no,no,55,
Melaleuca quinquenervia,NSW1078637,NSW_1078637,-28.60431562,153.5739177,9,0A,Oct-50,NA,no,no,65,
Melaleuca quinquenervia,NSW1071143,NSW_1071143,-28.6042916,153.5739313,6,0A,90+,NA,no,no,45,
Melaleuca quinquenervia,NSW1078647,NSW_1078647,-28.64923983,153.6220029,5,0,NA,NA,no,no,60,
Melaleuca quinquenervia,NSW1078651,NSW_1078651,-28.6482238,153.6235341,5,0A,1-May,NA,no,no,50,
Melaleuca quinquenervia,NSW1078713,NSW_1078713,-28.64745043,153.6250369,3.5,0,NA,NA,no,no,70,
Melaleuca quinquenervia,NSW1078654,NSW_1078654,-28.64620153,153.6274689,8,0,NA,NA,yes,no,50,
Melaleuca quinquenervia,NSW1078652,NSW_1078652,-28.64861633,153.6235516,10,0A,5-Oct,NA,no,yes,55,
Melaleuca quinquenervia,NSW1078656,NSW_1078656,-28.64852792,153.6242193,7,0A,Oct-50,NA,no,no,50,
Melaleuca quinquenervia,NSW1078658,NSW_1078658,-28.64850763,153.6242216,6,0A,1-May,NA,yes,no,45,
Melaleuca quinquenervia,NSW1078657,NSW_1078657,-28.64858659,153.6250671,4,0A,Oct-50,NA,no,no,30,
Melaleuca quinquenervia,NSW1078660,NSW_1078660,-28.64858147,153.6250711,7,0A,50-90,NA,no,no,80,
Melaleuca quinquenervia,NSW1078662,NSW_1078662,-28.64885647,153.6259881,6,0A,Oct-50,NA,yes,no,60,
Melaleuca quinquenervia,NSW1074318,NSW_1074318,-29.85196215,153.2605053,10,0A,90+,NA,no,no,45,
Melaleuca quinquenervia,NSW1080781,NSW_1080781,-29.85200872,153.2619853,11,0A,Oct-50,NA,no,no,50,burnt up to 4m
Melaleuca quinquenervia,NSW1080782,NSW_1080782,-29.8522382,153.262396,12,0A,5-Oct,NA,yes,no,50,
Melaleuca quinquenervia,NSW1080766,NSW_1080766,-29.85212664,153.2629126,9,0A,Oct-50,NA,yes,no,45,
Melaleuca quinquenervia,NSW1080784,NSW_1080784,-29.85248481,153.2632438,10,0A,5-Oct,NA,yes,no,55,
Melaleuca quinquenervia,NSW1080764,NSW_1080764,-29.85198428,153.2637667,13,0A,Oct-50,NA,yes,no,60,
Melaleuca quinquenervia,NSW1080779,NSW_1080779,-29.85293715,153.2701373,9,0A,50-90,NA,no,no,60,burnt up to 4m
Melaleuca quinquenervia,NSW1080778,NSW_1080778,-29.85293685,153.2701393,8,0A,90+,NA,yes,no,40,
Melaleuca quinquenervia,NSW1080787,NSW_1080787,-29.85197584,153.2709461,6,0A,50-90,NA,yes,no,30,
Melaleuca quinquenervia,NSW1080777,NSW_1080777,-29.85199418,153.2709712,9,0A,Oct-50,NA,no,no,85,
Melaleuca quinquenervia,NSW1080786,NSW_1080786,-29.85176414,153.26967,7,0A,Oct-50,NA,yes,no,65,
Melaleuca quinquenervia,NSW1080785,NSW_1080785,-29.85176757,153.2696437,7,0A,Oct-50,NA,no,no,50,
Melaleuca quinquenervia,NSW1080773,NSW_1080773,-30.03477256,153.1975396,7,0A,1-May,NA,yes,no,80,
Melaleuca quinquenervia,NSW1080774,NSW_1080774,-30.03558083,153.1972502,3,0A,1-May,NA,no,no,75,
Melaleuca quinquenervia,NSW1080768,NSW_1080768,-30.03595822,153.1971047,5,0A,Oct-50,NA,yes,no,55,
Melaleuca quinquenervia,NSW1080770,NSW_1080770,-30.0364465,153.1972212,5,0A,Oct-50,NA,yes,no,85,
Melaleuca quinquenervia,NSW1080769,NSW_1080769,-30.03644305,153.1972206,3,0A,Oct-50,NA,no,no,70,
Melaleuca quinquenervia,NSW1080775,NSW_1080775,-30.03464414,153.1976471,4,0A,50-90,NA,yes,no,60,
Melaleuca quinquenervia,NSW1080765,NSW_1080765,-30.03709778,153.1968916,5,0A,Oct-50,NA,yes,yes,35,
Melaleuca quinquenervia,NSW1080776,NSW_1080776,-30.03812084,153.1965746,7,0A,Oct-50,NA,yes,no,55,
Melaleuca quinquenervia,NSW1080771,NSW_1080771,-30.03812797,153.1965677,3,0A,Oct-50,NA,no,no,70,
Melaleuca quinquenervia,NSW1080763,NSW_1080763,-30.03875313,153.1961878,5,0A,1-May,NA,yes,no,65,
Melaleuca quinquenervia,NSW1080761,NSW_1080761,-30.18909784,153.1615165,15,0A,90+,NA,yes,no,50,
Melaleuca quinquenervia,NSW1080758,NSW_1080758,-30.18909914,153.1615232,12,0A,Oct-50,NA,yes,no,60,
Melaleuca quinquenervia,NSW1080780,NSW_1080780,-30.18916854,153.1616169,17,0A,50-90,NA,yes,no,45,
Melaleuca quinquenervia,NSW1071148,NSW_1071148,-30.18909682,153.1615244,11,0A,Oct-50,NA,yes,no,50,
Melaleuca quinquenervia,NSW1080767,NSW_1080767,-30.18913757,153.1614909,7,0A,50-90,NA,no,no,55,
Melaleuca quinquenervia,NSW1080772,NSW_1080772,-30.18911622,153.1615077,11,0A,50-90,NA,yes,no,60,
Melaleuca quinquenervia,NSW1071138,NSW_1071138,-30.18978066,153.1635112,10,0A,90+,NA,yes,no,55,
Melaleuca quinquenervia,NSW1080759,NSW_1080759,-30.17570688,153.1868368,12,0A,50-90,NA,yes,no,55,
Melaleuca quinquenervia,NSW1074398,NSW_1074398,-30.17570688,153.1868368,12,0A,90+,NA,yes,no,45,
Melaleuca quinquenervia,NSW1080762,NSW_1080762,-30.19164058,153.1644314,7,0A,50-90,NA,yes,no,45,
