"NSWID","sd_COI","sqrt_mean_COI","seedling_number","rust_infection","LeavesShootInfect","latitude","longitude"
"NSW1079710",13.076696830622,3,3,"0A",0,-32.40498167,152.4498453
"NSW1079711",16.1017967054257,3.33541601603158,8,"0A",0,-32.39118881,152.4519771
"NSW1079713",6.69221295878383,2,8,"0A",0,-32.75081717,152.1217409
"NSW1079714",22.6274169979695,6.48074069840786,6,NA,NA,-32.58144257,152.2852374
"NSW1079715",10.7864312084343,2.87771610830533,8,"0A",0,-32.59141373,152.2735029
"NSW1079716",13.9155616898082,3.42782730020052,8,"infected",5,-31.69863613,152.791601
"NSW1079717",30.5505046330389,6.05530070819498,3,"0A",0,-33.20923622,151.5524043
"NSW1079718",10.4602421896755,3.16227766016838,7,NA,NA,-32.75083052,152.1217611
"NSW1079719",2.42813371405558,1.17260393995586,4,NA,NA,-32.58144257,152.2852374
"NSW1079720",17.0782512765993,5.24404424085076,4,"0",3,-32.40380819,152.4554997
"NSW1079721",2.87228132326901,1.5,4,"0A",0,-31.69967177,152.7908758
"NSW1079722",14.2828568570857,3,4,"0A",0,-32.58144257,152.2852374
"NSW1079723",2.19089023002066,1.18321595661992,5,NA,NA,-32.75014513,152.1239062
"NSW1079724",15.6013710223742,4.11636301174282,9,"0A",0,-32.58366008,152.2830159
"NSW1079725",3.53553390593274,4.74341649025257,2,"0A",0,-32.40455938,152.4550092
"NSW1079726",20.7932948594279,5.28099317258495,9,"0A",0,-31.70961823,152.7898261
"NSW1079727",NA,0,1,"0A",0,-32.58364896,152.2830206
"NSW1079728",20.8166599946613,4.08248290463863,3,NA,NA,-32.75247562,152.1225817
"NSW1079729",11.8145390656315,4.60977222864644,4,"0A",0,-32.58534845,152.281299
"NSW1079730",18.8607838295938,3.44601218802256,4,"0A",0,-32.40517351,152.4501677
"NSW1079731",18.2117178395303,3.46410161513775,7,"0A",0,-31.71631709,152.791639
"NSW1079732",0.408248290463863,0.408248290463863,6,"0A",0,-32.40455719,152.4550025
"NSW1079733",7.68114574786861,2.91547594742265,4,"0A",0,-32.58106381,152.2854511
"NSW1079735",1.25,0.790569415042095,4,"infected",3,-31.71631504,152.7916554
"NSW1079736",22.8495662665931,4.42295150323853,8,"infected",5,-31.71824925,152.7925521
"NSW1079737",10.6848802832164,3.02765035409749,6,"0A",0,-32.59188917,152.2724035
"NSW1079738",2.60768096208106,1.7606816861659,5,"infected",5,-31.68884571,152.7937629
"NSW1079739",21.0277594304925,4.70814896394185,6,"0A",0,-31.69862089,152.7916118
"NSW1079740",25.9642611514916,4.7056197405716,7,"infected",4,-32.24914199,152.5377314
"NSW1079741",NA,0,1,"infected",4,-31.33082294,152.9575479
"NSW1079743",NA,0,2,"0A",0,-31.71505587,152.7912195
"NSW1079744",11.4909384589191,2.62995563967658,6,"0A",0,-32.25109305,152.5364718
"NSW1079745",28.4443901909205,4.14326763155202,3,NA,NA,-31.49982136,152.9005251
"NSW1079746",2.13697605664328,1.35400640077266,6,"0A",0,-31.33168946,152.9570097
"NSW1079747",23.5212669726782,3.55902608401044,9,"0A",0,-31.0495524,153.03983
"NSW1079748",19.6299091524473,4.16333199893227,3,"0A",0,-32.25015074,152.5368591
"NSW1079750",11.1915146427997,2.76887462097269,9,"0A",0,-31.50047217,152.8997563
"NSW1079751",4.81070235442364,2.26778683805536,7,"infected",2,-31.33080433,152.9575655
"NSW1079752",10.9601551083915,3.20156211871642,2,"infected",5,-31.03003889,153.0250251
"NSW1079753",3.03315017762062,1.78885438199983,5,"infected",4,-32.25012837,152.5368438
"NSW1079755",3.32791225845875,1.94935886896179,5,"0A",0,-31.50046378,152.8997506
"NSW1079756",19.8031983948721,4.10284454169706,6,"infected",3,-31.32818962,152.9589881
"NSW1079758",1.5,0.866025403784439,4,"0A",0,-32.25109093,152.5364798
"NSW1079760",15.8566494989747,3.47850542618522,10,"infected",5,-31.50147069,152.8986933
"NSW1079761",24.7671297143152,4.07737660757502,16,"0A",0,-31.32815482,152.9590002
"NSW1079762",1.39642400437689,1.14017542509914,5,"0A",0,-31.3139559,152.9694803
"NSW1079763",10.7004672795163,2.44948974278318,10,"infected",2,-31.70962811,152.789829
"NSW1079765",13.2341549463068,3.04138126514911,8,NA,NA,-31.31318018,152.9667334
"NSW1079766",11.6761865920913,2.54950975679639,4,"infected",3,-31.30981403,152.9633359
"NSW1079768",21.0594396886527,4.89897948556636,9,"0A",0,-32.25129137,152.5365557
"NSW1079772",16.4348008375955,4.05431868505671,8,"infected",4,-31.50224463,152.8982869
"NSW1079773",23.4269550352201,4.88876262463213,10,NA,NA,-32.25249922,152.5306496
"NSW1079774",10.7646540946645,2.42899156029822,10,"0A",0,-31.33241514,152.9565065
"NSW1079778",20.2496913556726,4.23083916026124,5,"0A",0,-32.25249091,152.5306509
"NSW1079779",9.56948274464195,2.39791576165636,12,"infected",4,-31.31946985,152.9668781
"NSW1079783",3.67517951186666,1.87823794493077,9,"infected",3,-31.05007697,153.0415239
"NSW1079784",8.21583836257749,2.44948974278318,5,"0A",0,-31.49350321,152.9038629
"NSW1079788",24.169769915698,5.02991053598372,10,"infected",3,-31.04981504,153.0406556
"NSW1079789",5.88005102018681,2.69258240356725,6,"infected",3,-31.49418374,152.9035492
"NSW1079793",5.56776436283002,2.44948974278318,3,"0A",0,-31.0492059,153.0393076
"NSW1079794",10.7548438699345,3.39116499156263,4,"infected",5,-31.49420354,152.9035574
"NSW1079798",14.8234049169998,4.03732584763727,10,"0A",0,-31.04851124,153.0380382
"NSW1079799",1.60727512683216,1.08012344973464,3,"0A",0,-31.30753143,152.9627998
"NSW1079803",8.50490054811538,3.41565025531987,3,"infected",4,-31.02313825,153.0207133
"NSW1079804",15.0953033032855,3.42451058215225,11,"infected",5,-31.49540748,152.9030448
"NSW1079808",8.15913160645351,2.54950975679639,8,"infected",4,-31.02977903,153.0255807
"NSW1079809",23.464157062777,5.18009008930668,6,"0A",0,-31.50223666,152.8982914
"NSW1079813",4.12916456441252,1.70293863659264,5,"0A",0,-31.03043342,153.0241479
"NSW1079814",14.3128314060197,3.39116499156263,8,"0A",0,-31.49585756,152.9025959
"NSW1079818",20.3510851471529,4.91596040125088,6,"0A",0,-31.03060077,153.0237167
"NSW1079821",11.6347181601733,2.67706306736817,6,"0A",0,-31.68235956,152.8002216
"NSW1080758",NA,0,1,"0A",0,-30.18909914,153.1615232
"NSW1080759",25.0639657866105,3.8821937833432,7,"0A",0,-30.17570688,153.1868368
"NSW1080761",8.00892359451987,2.17944947177034,8,"0A",0,-30.18909784,153.1615165
"NSW1080762",23.5874764995971,4.64450520200253,7,"0A",0,-30.19164058,153.1644314
"NSW1080763",0,0,2,"0A",0,-30.03875313,153.1961878
"NSW1080764",26.8328157299975,3.46410161513775,5,"0A",0,-29.85198428,153.2637667
"NSW1080765",8.42084997406522,2.15058131676066,8,"0A",0,-30.03709778,153.1968916
"NSW1080766",1.44337567297406,0.912870929175277,3,"0A",0,-29.85212664,153.2629126
"NSW1080767",17.8178615573303,3.48466026218585,7,"0A",0,-30.18913757,153.1614909
