label,x,y,plot_type,plot_num
P1,0.0,33878.30543501281,path,0
P1,10155.018718692569,33878.30543501281,path,0
P1,10582.161126363508,33878.30543501281,path,0
P1,11027.270082544603,33878.30543501281,path,0
P1,11491.10129975601,33878.30543501281,path,0
P1,11974.442277447519,33878.30543501281,path,0
P1,12478.113639026667,33878.30543501281,path,0
P1,13002.970525125214,33878.30543501281,path,0
P1,13549.90404546946,33878.30543501281,path,0
P1,14119.842791819421,33878.30543501281,path,0
P1,14713.75441454555,33878.30543501281,path,0
P1,15332.64726551974,33878.30543501281,path,0
P1,15977.572110109935,33878.30543501281,path,0
P1,16649.623911185005,35970.42786659934,path,0
P1,17349.94368815877,35970.42786659934,path,0
P1,18079.72045422952,35970.42786659934,path,0
P1,18840.193235104056,35970.42786659934,path,0
P1,19632.65317263376,35970.42786659934,path,0
P1,20458.445716934155,35970.42786659934,path,0
P1,21318.972910709883,35970.42786659934,path,0
P1,22215.695769663365,35970.42786659934,path,0
P1,23150.136763028746,35970.42786659934,path,0
P1,24123.882398442474,35970.42786659934,path,0
P1,25138.58591553929,35970.42786659934,path,0
P1,26195.97009284671,35970.42786659934,path,0
P1,27297.830172743743,35970.42786659934,path,0
P1,28446.036909449725,65286.212280672764,path,0
P1,29642.539745218313,65286.212280672764,path,0
P1,30889.370120129155,65286.212280672764,path,0
P1,32188.644921096675,65286.212280672764,path,0
P1,33542.57007595177,65286.212280672764,path,0
P1,34953.444298698436,65286.212280672764,path,0
P1,36423.662992304184,65286.212280672764,path,0
P1,37955.72231565034,65286.212280672764,path,0
P1,39552.223421547256,65286.212280672764,path,0
P1,41215.87687300969,65286.212280672764,path,0
P1,42949.50724529057,65286.212280672764,path,0
P1,44756.05792148626,65286.212280672764,path,0
P1,46638.596089855586,65286.212280672764,path,0
P1,48600.317951337114,65286.212280672764,path,0
P1,50644.55414610603,65286.212280672764,path,0
P1,52774.77540838393,65286.212280672764,path,0
P1,54994.5984591023,65286.212280672764,path,0
P1,57307.7921464244,105373.10027785088,path,0
P1,59718.28384455107,105373.10027785088,path,0
P1,62230.166121674265,105373.10027785088,path,0
P1,64847.703688399386,105373.10027785088,path,0
P1,67575.34063843355,105373.10027785088,path,0
P1,70417.70799383322,105373.10027785088,path,0
P1,73379.63156762133,105373.10027785088,path,0
P1,76466.14015712355,105373.10027785088,path,0
P1,79682.47408193411,105373.10027785088,path,0
P1,83034.09408100747,105373.10027785088,path,0
P1,86526.69058398105,105373.10027785088,path,0
P1,90166.19337247011,105373.10027785088,path,0
P1,93958.78164773808,105373.10027785088,path,0
P1,97910.89452183527,214536.94372065432,path,0
P1,102029.24195001773,214536.94372065432,path,0
P1,106320.8161230078,214536.94372065432,path,0
P1,110792.90333843815,214536.94372065432,path,0
P1,115453.09637163489,214536.94372065432,path,0
P1,120309.30736674317,214536.94372065432,path,0
P1,125369.7812700813,214536.94372065432,path,0
P1,130643.10982853181,214536.94372065432,path,0
P1,136138.24617673567,214536.94372065432,path,0
P1,141864.52003785534,214536.94372065432,path,0
P1,147831.6535637159,214536.94372065432,path,0
P1,154049.77784121715,214536.94372065432,path,0
P1,160529.4500930416,304328.6275377997,path,0
P1,167281.6716018624,304328.6275377997,path,0
P1,174317.90638848214,304328.6275377997,path,0
P1,181650.10067561577,304328.6275377997,path,0
P1,189290.7031703634,304328.6275377997,path,0
P1,197252.68619980724,304328.6275377997,path,0
P1,205549.5677356193,304328.6275377997,path,0
P1,214195.43434507222,304328.6275377997,path,0
P1,223204.96510741976,304328.6275377997,path,0
P1,232593.45653625354,304328.6275377997,path,0
P1,242376.84855014758,304328.6275377997,path,0
P1,252571.7515356866,226208.2295112475,path,0
P1,263195.4745488245,226208.2295112475,path,0
P1,274266.0547024526,226208.2295112475,path,0
P1,285802.287790076,226208.2295112475,path,0
P1,297823.76019758655,226208.2295112475,path,0
P1,310350.8821573171,226208.2295112475,path,0
P1,323404.92240083363,226208.2295112475,path,0
P1,337008.0442692994,226208.2295112475,path,0
P1,351183.343342721,226208.2295112475,path,0
P1,365954.886651964,226208.2295112475,path,0
P1,381347.75354010996,226208.2295112475,path,0
P1,397388.0782425344,226208.2295112475,path,0
P1,414103.0942579946,226208.2295112475,path,0
P1,431521.1805860636,226208.2295112475,path,0
P1,449671.9099094133,226208.2295112475,path,0
P1,468586.0988027476,226208.2295112475,path,0
P1,488295.86005363637,226208.2295112475,path,0
P1,508834.6571840779,758154.0156459553,path,0
P1,530237.3612653568,758154.0156459553,path,0
P1,552540.3101226613,758154.0156459553,path,0
P1,575781.3700299766,758154.0156459553,path,0
P1,600000.0,205439.75871232882,path,0
