label,x,y,plot_type,plot_num
P1,0.0,26611.8421988658,path,0
P1,8882.83343332501,26611.8421988658,path,0
P1,9268.988084725095,26611.8421988658,path,0
P1,9671.929656190403,26611.8421988658,path,0
P1,10092.38790892996,26611.8421988658,path,0
P1,10531.12432834163,26611.8421988658,path,0
P1,10988.933503126473,26611.8421988658,path,0
P1,11466.644564355965,26611.8421988658,path,0
P1,11965.122687098397,26611.8421988658,path,0
P1,12485.270657323957,26611.8421988658,path,0
P1,13028.030506926356,26611.8421988658,path,0
P1,13594.385219822136,26611.8421988658,path,0
P1,14185.360512217538,26611.8421988658,path,0
P1,14802.026690267156,35254.46424981247,path,0
P1,15445.500588488763,35254.46424981247,path,0
P1,16116.947592444923,35254.46424981247,path,0
P1,16817.583749354646,35254.46424981247,path,0
P1,17548.67797045757,35254.46424981247,path,0
P1,18311.554329119383,35254.46424981247,path,0
P1,19107.594458840467,35254.46424981247,path,0
P1,19938.240055510836,35254.46424981247,path,0
P1,20804.995488443124,35254.46424981247,path,0
P1,21709.430524912434,35254.46424981247,path,0
P1,22653.183173137415,35254.46424981247,path,0
P1,23637.962648851484,35254.46424981247,path,0
P1,24665.55247083678,51281.57754216295,path,0
P1,25737.813691027328,51281.57754216295,path,0
P1,26856.688265031218,51281.57754216295,path,0
P1,28024.202569176163,51281.57754216295,path,0
P1,29242.47107044815,51281.57754216295,path,0
P1,30513.700155969702,51281.57754216295,path,0
P1,31840.192128953226,51281.57754216295,path,0
P1,33224.349378366525,51281.57754216295,path,0
P1,34668.67872986212,51281.57754216295,path,0
P1,36175.795985850156,51281.57754216295,path,0
P1,37748.43066293736,51281.57754216295,path,0
P1,39389.43093531222,51281.57754216295,path,0
P1,41101.76879302884,51281.57754216295,path,0
P1,42888.54542453186,51281.57754216295,path,0
P1,44752.996833170684,51281.57754216295,path,0
P1,46698.49969787467,110399.74611393624,path,0
P1,48728.57748860387,110399.74611393624,path,0
P1,50846.90684765055,110399.74611393624,path,0
P1,53057.32424834895,110399.74611393624,path,0
P1,55363.832943252324,110399.74611393624,path,0
P1,57770.61021436136,110399.74611393624,path,0
P1,60282.01493853466,110399.74611393624,path,0
P1,62902.5954817827,110399.74611393624,path,0
P1,65637.09793674272,110399.74611393624,path,0
P1,68490.47471825339,110399.74611393624,path,0
P1,71467.893532596,110399.74611393624,path,0
P1,74574.7467366471,110399.74611393624,path,0
P1,77816.661103892,110399.74611393624,path,0
P1,81199.50801498667,110399.74611393624,path,0
P1,84729.41409132391,110399.74611393624,path,0
P1,88412.77229086199,110399.74611393624,path,0
P1,92256.25348631127,256411.97973268636,path,0
P1,96266.81854664802,256411.97973268636,path,0
P1,100451.73094383582,256411.97973268636,path,0
P1,104818.56990758663,256411.97973268636,path,0
P1,109375.24415198578,256411.97973268636,path,0
P1,114130.00619884089,256411.97973268636,path,0
P1,119091.46732369569,256411.97973268636,path,0
P1,124268.61315157737,256411.97973268636,path,0
P1,129670.81993072183,256411.97973268636,path,0
P1,135307.87151375125,256411.97973268636,path,0
P1,141189.9770770571,256411.97973268636,path,0
P1,147327.78961048077,256411.97973268636,path,0
P1,153732.4252107776,335675.68315852754,path,0
P1,160415.4832138067,335675.68315852754,path,0
P1,167389.06720190772,335675.68315852754,path,0
P1,174665.8069245103,335675.68315852754,path,0
P1,182258.88117167674,335675.68315852754,path,0
P1,190182.04164200358,335675.68315852754,path,0
P1,198449.63784810904,335675.68315852754,path,0
P1,207076.64310481172,335675.68315852754,path,0
P1,216078.68164706847,335675.68315852754,path,0
P1,225472.05692678265,335675.68315852754,path,0
P1,235273.78113973248,335675.68315852754,path,0
P1,245501.60603609396,335675.68315852754,path,0
P1,256174.0550703593,221344.07757517602,path,0
P1,267310.456948877,221344.07757517602,path,0
P1,278930.9806357714,221344.07757517602,path,0
P1,291056.67188063945,221344.07757517602,path,0
P1,303709.4913341803,221344.07757517602,path,0
P1,316912.35432078794,221344.07757517602,path,0
P1,330689.1723401388,221344.07757517602,path,0
P1,345064.89637293655,221344.07757517602,path,0
P1,360065.56206924457,221344.07757517602,path,0
P1,375718.3369012476,221344.07757517602,path,0
P1,392051.5693658367,221344.07757517602,path,0
P1,409094.8403261312,221344.07757517602,path,0
P1,426879.01658491977,221344.07757517602,path,0
P1,445436.30678704596,221344.07757517602,path,0
P1,464800.3197519841,221344.07757517602,path,0
P1,485006.1253422496,221344.07757517602,path,0
P1,506090.31797788,788351.621842731,path,0
P1,528091.0829120204,788351.621842731,path,0
P1,551048.265387641,788351.621842731,path,0
P1,575003.4428006363,788351.621842731,path,0
P1,600000.0,206547.80634127025,path,0
