label,x,y,plot_type,plot_num
P1,0.0,34560.064466465694,path,0
P1,14386.424380242679,34560.064466465694,path,0
P1,14938.896125300998,34560.064466465694,path,0
P1,15512.584054521585,34560.064466465694,path,0
P1,16108.302918114627,34560.064466465694,path,0
P1,16726.898754570044,34560.064466465694,path,0
P1,17369.25009219931,34560.064466465694,path,0
P1,18036.269196819234,34560.064466465694,path,0
P1,18728.903367349678,34560.064466465694,path,0
P1,19448.136281165174,34560.064466465694,path,0
P1,20194.989391111187,34560.064466465694,path,0
P1,20970.523376168927,34560.064466465694,path,0
P1,21775.839647829118,34560.064466465694,path,0
P1,22612.081914313916,34560.064466465694,path,0
P1,23480.437804868558,44149.46600043728,path,0
P1,24382.140556429553,44149.46600043728,path,0
P1,25318.4707650648,44149.46600043728,path,0
P1,26290.75820467302,44149.46600043728,path,0
P1,27300.38371552543,44149.46600043728,path,0
P1,28348.78116533176,44149.46600043728,path,0
P1,29437.439485615723,44149.46600043728,path,0
P1,30567.904786291947,44149.46600043728,path,0
P1,31741.78255144754,44149.46600043728,path,0
P1,32960.73991944673,44149.46600043728,path,0
P1,34226.5080505967,44149.46600043728,path,0
P1,35540.88458573731,44149.46600043728,path,0
P1,36905.736199246254,76190.56369058666,path,0
P1,38323.001250085494,76190.56369058666,path,0
P1,39794.692534653994,76190.56369058666,path,0
P1,41322.90014535625,76190.56369058666,path,0
P1,42909.79443894656,76190.56369058666,path,0
P1,44557.629118864344,76190.56369058666,path,0
P1,46268.74443593837,76190.56369058666,path,0
P1,48045.5705120053,76190.56369058666,path,0
P1,49890.63079116289,76190.56369058666,path,0
P1,51806.54562355914,76190.56369058666,path,0
P1,53796.0359868073,76190.56369058666,path,0
P1,55861.92735031164,76190.56369058666,path,0
P1,58007.15368799229,76190.56369058666,path,0
P1,60234.76164510796,142833.44661458308,path,0
P1,62547.91486509404,142833.44661458308,path,0
P1,64949.898482561526,142833.44661458308,path,0
P1,67444.1237888371,142833.44661458308,path,0
P1,70034.13307667097,142833.44661458308,path,0
P1,72723.60467099232,142833.44661458308,path,0
P1,75516.35815285763,142833.44661458308,path,0
P1,78416.3597840103,142833.44661458308,path,0
P1,81427.72813975613,142833.44661458308,path,0
P1,84554.73995815396,142833.44661458308,path,0
P1,87801.83621382869,142833.44661458308,path,0
P1,91173.62842503276,142833.44661458308,path,0
P1,94674.90520291321,142833.44661458308,path,0
P1,98310.6390522856,142833.44661458308,path,0
P1,102085.9934335734,142833.44661458308,path,0
P1,106006.33009594196,279609.5361611165,path,0
P1,110077.21669204178,279609.5361611165,path,0
P1,114304.43468517516,279609.5361611165,path,0
P1,118693.98756011667,279609.5361611165,path,0
P1,123252.1093492476,279609.5361611165,path,0
P1,127985.27348611347,279609.5361611165,path,0
P1,132900.2019989791,279609.5361611165,path,0
P1,138003.87505743644,279609.5361611165,path,0
P1,143303.54088562512,279609.5361611165,path,0
P1,148806.72605614222,279609.5361611165,path,0
P1,154521.24617926302,279609.5361611165,path,0
P1,160455.21700265136,279609.5361611165,path,0
P1,166617.06593732533,279609.5361611165,path,0
P1,173015.54402624565,336861.5005351019,path,0
P1,179659.7383725257,336861.5005351019,path,0
P1,186559.0850449138,336861.5005351019,path,0
P1,193723.38247887482,336861.5005351019,path,0
P1,201162.80539230476,336861.5005351019,path,0
P1,208887.91923564032,336861.5005351019,path,0
P1,216909.69519688646,336861.5005351019,path,0
P1,225239.52578287048,336861.5005351019,path,0
P1,233889.24099885332,336861.5005351019,path,0
P1,242871.12514947378,336861.5005351019,path,0
P1,252197.93428488902,336861.5005351019,path,0
P1,261882.91431688535,336861.5005351019,path,0
P1,271939.81983069086,231156.13149371158,path,0
P1,282382.9336192034,231156.13149371158,path,0
P1,293227.08696737944,231156.13149371158,path,0
P1,304487.6807155879,231156.13149371158,path,0
P1,316180.7071318476,231156.13149371158,path,0
P1,328322.7726240071,231156.13149371158,path,0
P1,340931.1213241245,231156.13149371158,path,0
P1,354023.6595785432,231156.13149371158,path,0
P1,367618.9813784406,231156.13149371158,path,0
P1,381736.3947669705,231156.13149371158,path,0
P1,396395.9492604979,231156.13149371158,path,0
P1,411618.46432287525,231156.13149371158,path,0
P1,427425.55893319333,231156.13149371158,path,0
P1,443839.6822890044,231156.13149371158,path,0
P1,460884.1456886166,231156.13149371158,path,0
P1,478583.1556377454,231156.13149371158,path,0
P1,496961.8482275326,231156.13149371158,path,0
P1,516046.32483276416,231156.13149371158,path,0
P1,535863.6891809775,525033.3314978505,path,0
P1,556442.0858451114,525033.3314978505,path,0
P1,577810.7402143603,525033.3314978505,path,0
P1,600000.0,204858.2610170388,path,0
