label,x,y,plot_type,plot_num
P1,0.0,19668.203713504405,path,0
P1,7967.447602152253,19668.203713504405,path,0
P1,8322.946736997299,19668.203713504405,path,0
P1,8694.307869458928,19668.203713504405,path,0
P1,9082.238745193108,19668.203713504405,path,0
P1,9487.478688722844,19668.203713504405,path,0
P1,9910.800012454007,19668.203713504405,path,0
P1,10353.009488559997,19668.203713504405,path,0
P1,10814.949886540326,19668.203713504405,path,0
P1,11297.501579383468,19668.203713504405,path,0
P1,11801.584221395004,19668.203713504405,path,0
P1,12328.15850088867,19668.203713504405,path,0
P1,12878.227971080685,19668.203713504405,path,0
P1,13452.840962676606,36777.82907273509,path,0
P1,14053.092581795838,36777.82907273509,path,0
P1,14680.126797041408,36777.82907273509,path,0
P1,15335.138619692623,36777.82907273509,path,0
P1,16019.376381175603,36777.82907273509,path,0
P1,16734.144112152175,36777.82907273509,path,0
P1,17480.80402776121,36777.82907273509,path,0
P1,18260.779123748813,36777.82907273509,path,0
P1,19075.55588843511,36777.82907273509,path,0
P1,19926.687135686127,36777.82907273509,path,0
P1,20815.794964289948,36777.82907273509,path,0
P1,21744.57384937706,41178.320152481414,path,0
P1,22714.793871776656,41178.320152481414,path,0
P1,23728.304091463426,41178.320152481414,path,0
P1,24787.036071523984,41178.320152481414,path,0
P1,25893.007559358986,41178.320152481414,path,0
P1,27048.326332136578,41178.320152481414,path,0
P1,28255.194213826013,41178.320152481414,path,0
P1,29515.911271466968,41178.320152481414,path,0
P1,30832.880198672116,41178.320152481414,path,0
P1,32208.61089471685,41178.320152481414,path,0
P1,33645.72524794329,41178.320152481414,path,0
P1,35146.96213259464,69637.75866612761,path,0
P1,36715.18262860315,69637.75866612761,path,0
P1,38353.37547427941,69637.75866612761,path,0
P1,40064.662762295,69637.75866612761,path,0
P1,41852.305889813906,69637.75866612761,path,0
P1,43719.71177411241,69637.75866612761,path,0
P1,45670.43934553355,69637.75866612761,path,0
P1,47708.20633015038,69637.75866612761,path,0
P1,49836.89633506437,69637.75866612761,path,0
P1,52060.566249842566,69637.75866612761,path,0
P1,54383.45397819897,69637.75866612761,path,0
P1,56809.98651465552,69637.75866612761,path,0
P1,59344.788381575,69637.75866612761,path,0
P1,61992.69044264577,69637.75866612761,path,0
P1,64758.73910961461,69637.75866612761,path,0
P1,67648.20595981457,69637.75866612761,path,0
P1,70666.5977828166,184403.81698067198,path,0
P1,73819.6670753524,184403.81698067198,path,0
P1,77113.42300450944,184403.81698067198,path,0
P1,80554.14286009253,184403.81698067198,path,0
P1,84148.38401797747,184403.81698067198,path,0
P1,87902.99643725698,184403.81698067198,path,0
P1,91825.13571499636,184403.81698067198,path,0
P1,95922.27672347846,184403.81698067198,path,0
P1,100202.22785592795,184403.81698067198,path,0
P1,104673.14590786547,184403.81698067198,path,0
P1,109343.55162245131,184403.81698067198,path,0
P1,114222.34592944694,184403.81698067198,path,0
P1,119318.82690874083,184403.81698067198,path,0
P1,124642.70751077017,184403.81698067198,path,0
P1,130204.1340676079,304101.03744932555,path,0
P1,136013.70562999623,304101.03744932555,path,0
P1,142082.49416717733,304101.03744932555,path,0
P1,148422.0656680195,304101.03744932555,path,0
P1,155044.50218365376,304101.03744932555,path,0
P1,161962.42485362905,304101.03744932555,path,0
P1,169189.01795947112,304101.03744932555,path,0
P1,176738.05405148474,304101.03744932555,path,0
P1,184623.92019668885,304101.03744932555,path,0
P1,192861.64539790558,304101.03744932555,path,0
P1,201466.92923626135,304101.03744932555,path,0
P1,210456.1717916855,304101.03744932555,path,0
P1,219846.50489843023,304101.03744932555,path,0
P1,229655.82479517956,304101.03744932555,path,0
P1,239902.82623197057,232181.85553477972,path,0
P1,250607.03809893152,232181.85553477972,path,0
P1,261788.86064473438,232181.85553477972,path,0
P1,273469.6043556981,232181.85553477972,path,0
P1,285671.53056963475,232181.85553477972,path,0
P1,298417.8939018431,232181.85553477972,path,0
P1,311732.98656410666,232181.85553477972,path,0
P1,325642.1846611566,232181.85553477972,path,0
P1,340171.99655283714,232181.85553477972,path,0
P1,355350.113374136,232181.85553477972,path,0
P1,371205.46180937,232181.85553477972,path,0
P1,387768.2592210957,232181.85553477972,path,0
P1,405070.07123881526,232181.85553477972,path,0
P1,423143.87191723095,232181.85553477972,path,0
P1,442024.1065786955,232181.85553477972,path,0
P1,461746.75745962927,799250.7790227735,path,0
P1,482349.4122860081,799250.7790227735,path,0
P1,503871.3359086214,799250.7790227735,path,0
P1,526353.5451346154,799250.7790227735,path,0
P1,549838.8868979464,799250.7790227735,path,0
P1,574372.1199177132,799250.7790227735,path,0
P1,600000.0,193033.9017203116,path,0
