label,x,y,plot_type,plot_num
P1,0.0,31737.535830190263,path,0
P1,7659.792729365254,31737.535830190263,path,0
P1,8004.748045649265,31737.535830190263,path,0
P1,8365.23826926522,31737.535830190263,path,0
P1,8741.963007769291,31737.535830190263,path,0
P1,9135.653375228892,31737.535830190263,path,0
P1,9547.073411104238,31737.535830190263,path,0
P1,9977.021563028584,31737.535830190263,path,0
P1,10426.332236364797,31737.535830190263,path,0
P1,10895.877413545517,31737.535830190263,path,0
P1,11386.568346339578,31737.535830190263,path,0
P1,11899.35732432888,31737.535830190263,path,0
P1,12435.239523027807,31737.535830190263,path,0
P1,12995.254935231913,31836.945326140205,path,0
P1,13580.490389343966,31836.945326140205,path,0
P1,14192.08165859445,31836.945326140205,path,0
P1,14831.21566524983,31836.945326140205,path,0
P1,15499.132784086358,31836.945326140205,path,0
P1,16197.129249599786,31836.945326140205,path,0
P1,16926.55967162267,31836.945326140205,path,0
P1,17688.83966423138,31836.945326140205,path,0
P1,18485.448593044748,31836.945326140205,path,0
P1,19317.932446246083,31836.945326140205,path,0
P1,20187.906834900357,31836.945326140205,path,0
P1,21097.060128389312,31836.945326140205,path,0
P1,22047.15673104953,54651.78683775023,path,0
P1,23040.040506372334,54651.78683775023,path,0
P1,24077.638355411094,54651.78683775023,path,0
P1,25161.96395634039,54651.78683775023,path,0
P1,26295.121672424644,54651.78683775023,path,0
P1,27479.310635980255,54651.78683775023,path,0
P1,28716.829016257187,54651.78683775023,path,0
P1,30010.07847952272,54651.78683775023,path,0
P1,31361.568850002972,54651.78683775023,path,0
P1,32773.922980727875,54651.78683775023,path,0
P1,34249.881843732466,54651.78683775023,path,0
P1,35792.309849493104,54651.78683775023,path,0
P1,37404.20040592209,54651.78683775023,path,0
P1,39088.68172770907,54651.78683775023,path,0
P1,40849.02290728355,54651.78683775023,path,0
P1,42688.64025918054,54651.78683775023,path,0
P1,44611.10395012174,54651.78683775023,path,0
P1,46620.144927679416,118192.24760845191,path,0
P1,48719.66216096971,118192.24760845191,path,0
P1,50913.73020742716,118192.24760845191,path,0
P1,53206.60712034558,118192.24760845191,path,0
P1,55602.74271253136,118192.24760845191,path,0
P1,58106.787192106865,118192.24760845191,path,0
P1,60723.60018722324,118192.24760845191,path,0
P1,63458.26017719705,118192.24760845191,path,0
P1,66316.074348374,118192.24760845191,path,0
P1,69302.58889384694,118192.24760845191,path,0
P1,72423.59977701724,118192.24760845191,path,0
P1,75685.16397988805,118192.24760845191,path,0
P1,79093.61125791943,118192.24760845191,path,0
P1,82655.55642425828,118192.24760845191,path,0
P1,86377.91218718291,118192.24760845191,path,0
P1,90267.902565676,118192.24760845191,path,0
P1,94333.07690916215,254604.7044862884,path,0
P1,98581.3245486176,254604.7044862884,path,0
P1,103020.89010748657,254604.7044862884,path,0
P1,107660.38950211751,254604.7044862884,path,0
P1,112508.82666277165,254604.7044862884,path,0
P1,117575.61100765498,254604.7044862884,path,0
P1,122870.57570388542,254604.7044862884,path,0
P1,128403.99675083387,254604.7044862884,path,0
P1,134186.6129228756,254604.7044862884,path,0
P1,140229.64661025407,254604.7044862884,path,0
P1,146544.8255985037,254604.7044862884,path,0
P1,153144.40582869962,254604.7044862884,path,0
P1,160041.19518270396,345155.48465642316,path,0
P1,167248.57833957108,345155.48465642316,path,0
P1,174780.54275134948,345155.48465642316,path,0
P1,182651.7057886918,345155.48465642316,path,0
P1,190877.34310895563,345155.48465642316,path,0
P1,199473.41830184901,345155.48465642316,path,0
P1,208456.6138701537,345155.48465642316,path,0
P1,217844.36360565235,345155.48465642316,path,0
P1,227654.8864230895,345155.48465642316,path,0
P1,237907.22171783115,345155.48465642316,path,0
P1,248621.2663158402,345155.48465642316,path,0
P1,259817.81308767686,345155.48465642316,path,0
P1,271518.5913014637,236054.6971768633,path,0
P1,283746.30879312847,236054.6971768633,path,0
P1,296524.696035764,236054.6971768633,path,0
P1,309878.5521936334,236054.6971768633,path,0
P1,323833.7932501945,236054.6971768633,path,0
P1,338417.50230355,236054.6971768633,path,0
P1,353657.98212693044,236054.6971768633,path,0
P1,369584.8100962128,236054.6971768633,path,0
P1,386228.89559107844,236054.6971768633,path,0
P1,403622.53998120356,236054.6971768633,path,0
P1,421799.499313902,236054.6971768633,path,0
P1,440795.04982487805,236054.6971768633,path,0
P1,460646.0563992254,236054.6971768633,path,0
P1,481391.0441155371,236054.6971768633,path,0
P1,503070.2730119732,236054.6971768633,path,0
P1,525725.8162193819,236054.6971768633,path,0
P1,549401.6416131135,580055.116834803,path,0
P1,574143.6971419858,580055.116834803,path,0
P1,600000.0,210116.3852441925,path,0
