library,COI,RGR
S_1823_S3_L003,1,0.022172429
S_1824_S180,NA,0.025490669
S_1825_S198,5,0.030364206
S_1828_S156,2,0.031538294
S_183_S263,50,0.030012224
S_1831_S153,0,0.048866895
S_1834_S114,10,0.031538294
S_1835_S57,0,0.028027775
S_1837_S256,60,0.021312181
S_1839_S299,24,0.035917664
S_1841_S250,0,0.028487815
S_1845_S34,40,0.028586135
S_185_S72,0,0.036651629
S_1855_S49,1,0.024245432
S_1856_S51,0.5,0.022384632
S_1861_S1_L003,40,0.013696279
S_1865_S374,24,0.028938101
S_1866_S158,0,0.026271181
S_1871_S186,9,0.031940308
S_1874_S244,30,0.035752715
S_1877_S262,60,0.025750177
S_188_S79,2,0.025931865
S_189_S37_L003,40,0.028459853
S_1899_S193,7,0.026432472
S_190_S2,25,0.030411459
S_1900_S242,6,0.028701545
S_1909_S132,18,0.024449202
S_1910_S23_L003,5,0.019155703
S_1921_S54,0,0.018531387
S_1934_S21_L003,70,0.024779047
S_1935_S15,5,0.018342997
S_1936_S218,2,0.024761568
S_1939_S59,20,0.012215266
S_1945_S21,24,0.015091769
S_1946_S184,3,0.018245864
S_1950_S66,0,0.015102253
S_1952_S293,2,0.024623558
S_1955_S145,4.5,0.027725887
S_1956_S127,0,0.025840016
S_1969_S291,3,0.014189503
S_197_S207,4,0.027725887
S_1971_S104,20,0.02213541
S_1973_S267,70,0.020532281
S_198_S304,0,0.038391034
S_199_S59_L003,1,0.02909745
S_1998_S79_L003,0,0.025050118
S_2005_S22,25,0.020124143
S_2008_S85_L003,3,0.027339411
S_2010_S200,0,0.012426864
S_2014_S264,2.5,0.022719362
S_2015_S266,0,0.022036803
S_2025_S28,2.5,0.018381293
S_2029_S18_L003,40,0.02427704
S_2031_S70,0,0.029198446
S_2037_S371,0,0.01930619
S_2038_S118,36,0.021255676
S_2039_S155,5,0.02155986
S_2066_S68_L003,0,0.022199874
S_2073_S215,5,0.019669018
S_2075_S187,0,0.030150872
S_2076_S5_L003,10,0.033891914
S_2077_S82_L003,0.5,0.025601494
S_2080_S6_L003,40,0.030237923
S_2083_S65_L003,3,0.030253043
S_2089_S17,0,0.027475103
S_209_S379,0,0.028321432
S_2096_S54_L003,40,0.023380534
S_2098_S191,3,0.01940071
S_2099_S335,0.5,0.028262808
S_210_S177,0,0.026729985
S_2103_S301,30,0.025530823
S_2104_S224,3,0.024245432
S_2105_S269,0,0.031383255
S_2107_S349,2,0.026659157
S_2108_S154,10,0.037101915
S_2115_S280,30,0.015786168
S_2116_S350,3,0.028982535
S_212_S12,0,0.02391348
S_2120_S134,0,0.042489786
S_2124_S101,0,0.035859524
S_2125_S140,0,0.024524179
S_2126_S35,3,0.031206342
S_2130_S16_L003,15,0.036970356
S_2135_S234,3,0.027725887
S_2138_S112,25,0.01854291
S_2139_S60,2,0.018107154
S_2140_S363,0,0.029358767
S_2143_S84_L003,0,0.025936451
S_2145_S212,0,0.038874423
S_2149_S9_L003,0,0.013393902
S_2155_S383,4,0.018904176
S_2157_S122,2,0.026197039
S_2162_S4_L003,18,0.028605043
S_2167_S81_L003,0,0.025225073
S_2177_S11_L003,2.5,0.021645239
S_2187_S360,15,0.027725887
S_2192_S307,3,0.033269334
S_2193_S216,7.5,0.028564492
S_2194_S133,12,0.042434878
S_2195_S129,0,0.029503958
S_2198_S47_L003,5,0.02471191
S_2200_S5,0.1,0.027725887
S_2201_S214,0,0.028398172
S_2203_S277,0,0.030438791
S_2211_S38_L003,3,0.025835772
S_2212_S230,0,0.025936451
S_2214_S290,4,0.024014618
S_2224_S161,30,0.03166349
S_2225_S110,3,0.023634733
S_2226_S298,24,0.034042008
S_2228_S346,0,0.031620854
S_2232_S273,3,0.027725887
S_2233_S80_L003,6,0.029105334
S_225_S143,0,0.032045433
S_2271_S195,5,0.025144346
S_2277_S189,18,0.02285801
S_228_S138,0.5,0.032801557
S_2285_S158,0,0.019273523
S_229_S24_L003,15,0.02454732
S_2296_S115,0,0.021645239
S_2299_S281,50,0.018853873
S_2302_S259,25,0.040132084
S_2307_S288,52.5,0.030150872
S_231_S260,20,0.028094553
S_2316_S149,1,0.034502613
S_2317_S77_L003,5,0.02155986
S_2318_S85,36,0.027181661
S_2319_S337,0,0.026784667
S_2323_S355,2.5,0.028047174
S_2326_S100,0,0.033422701
S_2332_S35_L003,15,0.020632527
S_2335_S96,0,0.016218604
S_2341_S56,0,0.020974794
S_2344_S156,0,0.022732965
S_2346_S152,0,0.025490669
S_2351_S197,0,0.016098303
S_2358_S289,5,0.023357916
S_2362_S55_L003,0,0.024890914
S_2370_S336,1,0.028863405
S_2375_S268,40,0.009191524
S_2386_S67,0,0.038220458
S_2387_S147,2,0.025774281
S_2388_S137,0,0.030364206
S_2395_S194,6,0.027725887
S_2397_S166,6,0.041658155
S_242_S324,0,0.026271181
S_248_S252,10,0.029777619
S_255_S45,0,0.018703876
S_256_S39_L003,0,0.027307035
S_261_S368,15,0.035538237
S_269_S228,0.5,0.033474156
S_27_S7,0.5,0.026791993
S_272_S326,20,0.048312463
S_274_S192,0,0.021503323
S_276_S74,5,0.032812094
S_28_S364,0,0.026442355
S_285_1_S191,18,0.019541268
S_285_S191,18,0.019541268
S_289_S32_L003,3,0.029481655
S_292_S80,3,0.029536151
S_294_S317,0,0.043196806
S_295_S46_L003,3,0.025674155
S_297_S95,40,0.026093007
S_298_S354,20,0.028459853
S_302_S182,20,0.024697414
S_304_S341,0,0.008925742
S_32_S152,0,0.024176763
S_325_S347,0,0.019913537
S_328_S179,6,0.031050483
S_331_S25,0,0.028786957
S_334_S137,0,0.040980173
S_337_S8,80,0.034803116
S_339_S28_L003,0,0.024867529
S_341_S162,11.25,0.027468652
S_344_S160,6,0.031940308
S_357_S87,5,0.033590026
S_358_S153,0,0.025068083
S_371_S41_L003,1,0.040980173
S_373_S73,0,0.031206342
S_377_S12_L003,60,0.029792768
S_381_S205,50,0.019686212
S_382_S276,70,0.025583643
S_385_S62_L003,25,0.016309205
S_389_S330,25,0.02122513
S_393_S135,NA,0.025110577
S_394_S237,0,0.02877858
S_397_S176,2,0.019273523
S_398_S239,5,0.035752715
S_4_S313,60,0.024418219
S_402_S309,3,0.02532173
S_406_S140,50,0.021472044
S_407_S131,0,0.022695112
S_41_S124,0,0.018719419
S_413_S86_L003,0,0.026978202
S_415_S222,0,0.02912954
S_419_S1,5,0.014814952
S_421_S358,3,0.025931865
S_43_S157,5,0.020506352
S_437_S233,2,0.030927596
S_440_S128,0,0.023634733
S_449_S352,18,0.024948747
S_450_S135,0.5,0.026761985
S_451_S261,0,0.030069654
S_453_S63,0,0.018321098
S_454_S71_L003,42,0.022690677
S_469_S119,70,0.02172618
S_471_S344,0,0.018625345
S_473_S362,6,0.035620265
S_474_S89_L003,0,0.027095953
S_477_S225,0,0.028497615
S_481_S27_L003,0.5,0.025893506
S_483_S160,2,0.02122513
S_487_S31,5,0.017285334
S_494_S382,5,0.02100041
S_496_S381,22.5,0.031459165
S_499_S265,18,0.020744311
