site,long,lat,V1,V2,V3
NSW_1079654_S25,-33.20289403 151.5474202,151.5474202,-33.20289403,0.268128,0.731772,9.9991e-05
NSW_1079658_S171,-32.75007599 152.1210819,152.1210819,-32.75007599,0.201984,0.777229,0.020787
NSW_1079670_S157,-33.28465949 151.5516915,151.5516915,-33.28465949,0.37393,0.611284,0.0147859
NSW_1079671_S145,-33.28463505 151.5516779,151.5516779,-33.28463505,0.0759817,0.923918,9.9991e-05
NSW_1079672_S56,-33.2845166 151.5521833,151.5521833,-33.2845166,0.179817,0.820083,9.9991e-05
NSW_1079675_S166,-33.21130892 151.5512911,151.5512911,-33.21130892,9.9991e-05,0.945492,0.0544077
NSW_1079681_S100,-33.28357552 151.5522239,151.5522239,-33.28357552,0.221319,0.764422,0.0142592
NSW_1079682_S99,-33.28602382 151.551742,151.551742,-33.28602382,0.0970608,0.886398,0.0165415
NSW_1079686_S154,-32.40612129 152.452775,152.452775,-32.40612129,0.331365,0.668535,9.9991e-05
NSW_1079687_S143,-33.20875621 151.5500155,151.5500155,-33.20875621,0.118635,0.880954,0.000411503
NSW_1079691_S109,-32.40388962 152.4558823,152.4558823,-32.40388962,0.239132,0.760768,9.9991e-05
NSW_1079692_S144,-32.75247506 152.1225791,152.1225791,-32.75247506,0.255697,0.743169,0.0011343
NSW_1079696_S50,-32.40652495 152.4517557,152.4517557,-32.40652495,0.319454,0.680446,9.9991e-05
NSW_1079697_S34,-32.74757274 152.1213281,152.1213281,-32.74757274,0.190453,0.809447,9.9991e-05
NSW_1079701_S90,-32.40648032 152.4517494,152.4517494,-32.40648032,0.38853,0.61137,9.9991e-05
NSW_1079702_S170,-32.75007599 152.1210819,152.1210819,-32.75007599,9.999e-05,0.9998,9.999e-05
NSW_1079703_S44,-32.74896662 152.1212028,152.1212028,-32.74896662,0.119435,0.880192,0.000373005
NSW_1079705_S148,-32.253502 152.5345676,152.5345676,-32.253502,0.315789,0.678514,0.00569724
NSW_1079706_S46,-32.25345377 152.5341452,152.5341452,-32.25345377,0.354823,0.642774,0.00240337
NSW_1079707_S160,-33.21065443 151.5512577,151.5512577,-33.21065443,0.130398,0.869502,9.9991e-05
NSW_1079708_S33,-32.748032 152.1212337,152.1212337,-32.748032,0.272559,0.726969,0.00047186
NSW_1079709_S48,-32.74897577 152.1211969,152.1211969,-32.74897577,0.258232,0.734668,0.00710062
NSW_1079710_S115,-32.40498167 152.4498453,152.4498453,-32.40498167,0.259349,0.740551,9.9991e-05
NSW_1079711_S37,-32.39118881 152.4519771,152.4519771,-32.39118881,0.289263,0.710637,9.9991e-05
NSW_1079712_S165,-33.2118398 151.5518817,151.5518817,-33.2118398,9.999e-05,0.9998,9.999e-05
NSW_1079713_S54,-32.75081717 152.1217409,152.1217409,-32.75081717,0.244635,0.744136,0.0112288
NSW_1079714_S89,-32.58144257 152.2852374,152.2852374,-32.58144257,0.223793,0.77232,0.0038865
NSW_1079715_S64,-32.59141373 152.2735029,152.2735029,-32.59141373,0.340311,0.659589,9.9991e-05
NSW_1079716_S105,-31.69863613 152.791601,152.791601,-31.69863613,0.673693,0.326207,9.9991e-05
NSW_1079717_S101,-33.20923622 151.5524043,151.5524043,-33.20923622,0.104382,0.876987,0.0186313
NSW_1079718_S88,-32.75083052 152.1217611,152.1217611,-32.75083052,0.291048,0.705344,0.0036073
NSW_1079719_S107,-32.58144257 152.2852374,152.2852374,-32.58144257,0.354422,0.640704,0.00487487
NSW_1079720_S36,-32.40380819 152.4554997,152.4554997,-32.40380819,0.338338,0.661562,9.9991e-05
NSW_1079721_S26,-31.69967177 152.7908758,152.7908758,-31.69967177,0.656983,0.342917,9.9991e-05
NSW_1079722_S97,-32.58144257 152.2852374,152.2852374,-32.58144257,0.289003,0.699583,0.0114146
NSW_1079723_S102,-32.75014513 152.1239062,152.1239062,-32.75014513,0.233206,0.757485,0.0093087
